Species,Genus,Species_name,Cultivar,BiomeType,Woody_Herbaceous,Evergreen_Deciduous_Herb,Biome,Crop_FunctionalType_Category,Tree_Shrub_Herb,OsmoticPotential_WET_MPa,OsmoticPotential_DRY_MPa,OsmoticAdjustment_MPa,TLP_WET_MPa,TLP_DRY_MPa,TLP_Adjustment_MPa,TLP_Adjustment_contribution_to_TLP_DRY_percent,RWC_total_wet_percent,RWC_total_dry_percent,RWC_total_Adjustment_percent,Reference,Hardening_Treatment
Ceratonia siliqua,Ceratonia,siliqua,Galhosa,Wet,W,E,Crop,CropW,T,-1.7,-1.82,-0.12,-1.82,-1.97,-0.15,7.614213198,95.4,95.8,0.4,Correia et al. 2001,Yes
Ceratonia siliqua,Ceratonia,siliqua,Mulata,Wet,W,E,Crop,CropW,T,-1.65,-1.73,-0.08,-1.77,-1.86,-0.09,4.838709677,94.7,95.2,0.5,Correia et al. 2001,Yes
Zizyphus jujuba,Zizyphus,jujuba,,Wet,W,E,Crop,CropW,T,,,,-4.44,-5.46,-1.02,18.68131868,63.3,66.2,2.9,Cruz et al. 2012,Yes
Pennisetum glaucum,Pennisetum,glaucum,IC30,Wet,H,H,Crop,CropH,,-1.16,-1.02,0.14,-1.59,-1.48,0.11,-7.432432432,79,70,-9,Do et al. 1996,No
Pennisetum glaucum,Pennisetum,glaucum,HKP,Wet,H,H,Crop,CropH,,-1.11,-0.99,0.12,-1.59,-1.48,0.11,-7.432432432,82,74,-8,Do et al. 1996,No
Oryza sativa,Oryza,sativa,63-83,Wet,H,H,Crop,CropH,H,-0.99,-1.22,-0.23,-1.42,-1.67,-0.25,14.97005988,89.16666667,87.2,-1.96666667,Henson 1984,No
Oryza sativa,Oryza,sativa,IR20,Wet,H,H,Crop,CropH,H,-1.07,-1.29,-0.22,-1.39,-1.61,-0.22,13.66459627,,,,Henson 1984,No
Capsicum chinense,Capsicum,chinense,AMES1,Wet,W,E,Crop,CropW,S,,,,-1.2,-1.26,-0.06,4.761904762,,,,Jaimez et al. 1999,No
Capsicum chinense,Capsicum,chinense,ANMB1,Wet,W,E,Crop,CropW,S,,,,-1.2,-1.41,-0.21,14.89361702,,,,Jaimez et al. 1999,No
Capsicum chinense,Capsicum,chinense,ROOR1,Wet,W,E,Crop,CropW,S,,,,-1.38,-1.78,-0.4,22.47191011,,,,Jaimez et al. 1999,No
Lupinus angustifolius,Lupinus,angustifolius,,Wet,H,H,Crop,CropH,,-0.52,-0.92,-0.4,-0.72,-1.11,-0.39,35.13513514,86.9,82.6,-4.3,Jensen & Henson 1990,No
Lupinus cosentinii,Lupinus,cosentinii,,Wet,H,H,Crop,CropH,,-0.59,-0.9,-0.31,-0.75,-1.06,-0.31,29.24528302,90,85.6,-4.4,Jensen & Henson 1990,No
Chenopodium quinoa,Chenopodium,quinoa,,Wet,H,H,Crop,CropH,H,-1.27,-1.43,-0.16,-1.57,-1.83,-0.26,14.20765027,,,,Jensen et al. 2000,No
Sorghum bicolor,Sorghum,bicolor,Shallu,Wet,H,H,Crop,CropH,H,-0.7,-1.6,-0.9,-1,-1.9,-0.9,47.36842105,,,,Jones & Turner 1978,Yes
Sorghum bicolor,Sorghum,bicolor,RS 610,Wet,H,H,Crop,CropH,H,-0.7,-1.3,-0.6,-1,-1.9,-0.9,47.36842105,,,,Jones & Turner 1978,Yes
Pyrus communis,Pyrus,communis,,Wet,W,E,Crop,CropW,T,-1.96,-2.18,-0.22,-2.82,-3.09,-0.27,8.737864078,89,87.5,-1.5,Marsal & Girona 1997,Yes
Helianthus annuus ,Helianthus,annuus,T57,Wet,H,H,Crop,CropH,H,-0.96,-1.15,-0.19,-1.16,-1.36,-0.2,14.70588235,90,90.8,0.8,Maury et al. 2000,Yes
Helianthus annuus ,Helianthus,annuus,Viki,Wet,H,H,Crop,CropH,H,-0.92,-1.1,-0.18,-1.11,-1.37,-0.26,18.97810219,89.1,87.6,-1.5,Maury et al. 2000,Yes
Helianthus annuus ,Helianthus,annuus,T32,Wet,H,H,Crop,CropH,H,-0.88,-0.94,-0.06,-1.06,-1.12,-0.06,5.357142857,88.7,89.6,0.9,Maury et al. 2000,Yes
Prunus persica,Prunus,persica,Flordastar,Wet,W,E,Crop,CropW,T,-1.37,-1.55,-0.18,-2.84,-2.78,0.06,-2.158273381,74,66,-8,Mellisho et al. 2011,No
Triticum aestivum,Triticum,aestivum,Highbury,Wet,H,H,Crop,CropH,,-1.19,-1.55,-0.36,-1.37,-1.79,-0.42,23.46368715,89.6,90.8,1.2,Quarrie 1983,No
Triticum aestivum,Triticum,aestivum,TW269/9,Wet,H,H,Crop,CropH,,-1.08,-1.45,-0.37,-1.27,-1.7,-0.43,25.29411765,89.3,87.7,-1.6,Quarrie 1983,No
Punica granatum,Punica,granatum,,Wet,W,E,Crop,CropW,T,,,,-2.5,-3.63,-1.13,31.12947658,83,84.9,1.9,Rodriguez et al. 2011,No
Citrus limon,Citrus,limon,,Wet,W,E,Crop,CropW,T,-2.11,-1.98,0.13,-2.6,-2.72,-0.12,4.411764706,87.08,78.57,-8.51,Ruiz-Sanchez et al. 1997,No
Citrus reticulata,Citrus,reticulata,,Wet,W,E,Crop,CropW,T,-1.83,-1.92,-0.09,-1.99,-2.13,-0.14,6.572769953,88.34,77.43,-10.91,Save et al. 1995,No
Citrus sinensis,Citrus,sinensis,,Wet,W,E,Crop,CropW,T,-1.78,-1.7,0.08,-1.95,-1.99,-0.04,2.010050251,85.61,86.64,1.03,Save et al. 1995,No
Phaseolus vulgaris,Phaseolus,vulgaris,Plovdiv 10,Wet,H,H,Crop,CropH,S,-0.65,-1.28,-0.63,-0.79,-1.82,-1.03,56.59340659,74.6,65.8,-8.8,Stoyanov 2005,No
Phaseolus vulgaris,Phaseolus,vulgaris,Dobrudjanski ran,Wet,H,H,Crop,CropH,S,-0.54,-0.83,-0.29,-0.6,-0.98,-0.38,38.7755102,79.4,76.9,-2.5,Stoyanov 2005,No
Phaseolus vulgaris,Phaseolus,vulgaris,Prelom,Wet,H,H,Crop,CropH,S,-0.92,-1.71,-0.79,-1.1,-2.05,-0.95,46.34146341,71.4,60.7,-10.7,Stoyanov 2005,No
Lycopersicon esculentum,Lycopersicon,esculentum,,Wet,H,H,Crop,CropH,S,-0.69,-0.77,-0.08,-0.86,-1.1,-0.24,21.81818182,87.33,85.7,-1.63,Torrecillas et al. 1995,No
Prunus armeniaca,Prunus,armeniaca,,Wet,W,E,Crop,CropW,T,-1.56,-2.12,-0.56,-2.82,-3.02,-0.2,6.622516556,,,,Torrecillas et al. 1998,Yes
Festuca arundinacea,Festuca,arundinacea,TF3,Wet,H,H,Crop,CropH,,-1.7,-1.9,-0.2,-2.73,-2.65,0.08,-3.018867925,72,82,10,White et al. 1992,No
Festuca arundinacea,Festuca,arundinacea,TF4,Wet,H,H,Crop,CropH,,-1.47,-1.74,-0.27,-2.27,-2.44,-0.17,6.967213115,70,80,10,White et al. 1992,No
Festuca arundinacea,Festuca,arundinacea,TF5,Wet,H,H,Crop,CropH,,-1.58,-1.85,-0.27,-2.46,-2.51,-0.05,1.992031873,70,81,11,White et al. 1992,No
Zoysia japonica,Zoysia,japonica,DALZ8504,Wet,H,H,Crop,CropH,,-1.68,-1.75,-0.07,-2.28,-2.55,-0.27,10.58823529,79,82,3,White et al. 2001,No
Zoysia japonica,Zoysia,japonica,DALZ8511,Wet,H,H,Crop,CropH,,-1.66,-1.77,-0.11,-2.36,-2.55,-0.19,7.450980392,80,83,3,White et al. 2001,No
Zoysia japonica,Zoysia,japonica,DALZ8513,Wet,H,H,Crop,CropH,,-1.56,-1.57,-0.01,-2.21,-2.4,-0.19,7.916666667,72,75,3,White et al. 2001,No
Zoysia japonica,Zoysia,japonica,El Toro,Wet,H,H,Crop,CropH,,-1.64,-1.8,-0.16,-2.31,-2.59,-0.28,10.81081081,82,83,1,White et al. 2001,No
Zoysia japonica,Zoysia,japonica,K Common,Wet,H,H,Crop,CropH,,-1.72,-1.9,-0.18,-2.44,-2.42,0.02,-0.826446281,82,80,-2,White et al. 2001,No
Zoysia japonica,Zoysia,japonica,Meyer,Wet,H,H,Crop,CropH,,-1.76,-2.04,-0.28,-2.41,-2.57,-0.16,6.225680934,78,82,4,White et al. 2001,No
Zoysia japonica,Zoysia,japonica,Palisades,Wet,H,H,Crop,CropH,,-1.76,-1.87,-0.11,-2.44,-2.52,-0.08,3.174603175,80,85,5,White et al. 2001,No
Zoysia japonica x tenuifolia,Zoysia,japonica x tenuifolia,Emerald,Wet,H,H,Crop,CropH,,-1.29,-1.45,-0.16,-2.06,-2.3,-0.24,10.43478261,66,67,1,White et al. 2001,No
Zoysia matrella,Zoysia,matrella,Cavalier,Wet,H,H,Crop,CropH,,-1.41,-1.51,-0.1,-2.09,-2.39,-0.3,12.55230126,70,75,5,White et al. 2001,No
Zoysia matrella,Zoysia,matrella,DALZ8501,Wet,H,H,Crop,CropH,,-1.59,-1.32,0.27,-2.29,-2.21,0.08,-3.619909502,73,68,-5,White et al. 2001,No
Zoysia matrella,Zoysia,matrella,DALZ8506,Wet,H,H,Crop,CropH,,-1.47,-1.36,0.11,-2.03,-2.27,-0.24,10.57268722,73,70,-3,White et al. 2001,No
Zoysia matrella,Zoysia,matrella,DALZ8510,Wet,H,H,Crop,CropH,,-1.41,-1.5,-0.09,-2.2,-2.32,-0.12,5.172413793,67,68,1,White et al. 2001,No
Zoysia matrella,Zoysia,matrella,DALZ8515,Wet,H,H,Crop,CropH,,-1.56,-1.51,0.05,-2.52,-2.5,0.02,-0.8,74,71,-3,White et al. 2001,No
Zoysia matrella,Zoysia,matrella,Diamond,Wet,H,H,Crop,CropH,,-1.18,-1.3,-0.12,-1.76,-2.18,-0.42,19.26605505,67,67,0,White et al. 2001,No
Cenchrus cilaris,Cenchrus,ciliaris,,Wet,H,H,Crop,CropH,,-1.12,-1.3,-0.18,-1.57,-1.79,-0.22,12.29050279,76.4,78.4,2,Wilson et al. 1980,No
Heteropogon contortus,Heteropogon,contortus,,Wet,H,H,Crop,CropH,,-0.92,-1.31,-0.39,-1.31,-1.96,-0.65,33.16326531,77.7,75.5,-2.2,Wilson et al. 1980,No
Macroptilium atropurpureum,Macroptilium,atropurpureum,,Wet,H,H,Crop,CropH,,-0.75,-1.09,-0.34,-1.01,-1.31,-0.3,22.90076336,82.2,81,-1.2,Wilson et al. 1980,No
Panicum maximum var. trichoglume,,,,Wet,H,H,Crop,CropH,,-1.06,-1.61,-0.55,-1.41,-2.27,-0.86,37.88546256,80.6,77.8,-2.8,Wilson et al. 1980,No
Zoysia japonica,Zoysia,japonica,Crowne,Wet,H,H,Crop,CropH,,-1.74,-1.96,-0.22,-2.43,-2.56,-0.13,5.078125,81,83,2,White et al. 2001,No
