"","Species","Biome","Growth.Form","Ever.Decid","TLP","totRWCtlp","Po","LMA","SWC","LMA_imputed","SWC_imputed","ApoFrac","SWA","LWAtlp","water_loss.m2","CFT.g.m2","water_loss.g","n_vals","nDatasets","Dataset","T.S.L.H","Family","Genus","Species_name","Gymno.Angio"
"11","Amphilophium crucigerum","TropicalDry","W","DD",1.95333333333333,82.8166666666667,-1.42,49.7968827833333,2.51666666666667,0,0,NA,118.971247672433,97.7449370356652,21.2263106367681,10.1959542904812,-203.763766666667,3,1,"Contributed","L","Bignoniaceae","Amphilophium","crucigerum","Angiosperm"
"12","Amyris elemifera","TropicalDry","W","E",2.54925,93.445,-1.7615,131.20000000021,3.334,1,0,NA,437.4208000007,408.747866560654,28.6729334400459,10.77249789756,-308.21163,1,1,"Contributed","T","Rutaceae","Amyris","elemifera","Angiosperm"
"13","Anemia caffrorum","Med/TempDry","F","E",1.644131,87.8621,-1.3734615,73.9595795,2.220074,0,0,0.254877,145.423881484781,127.7317334501,17.6921480346816,10.2927541317424,-198.666891014454,2,1,"Contributed",NA,"Anemiaceae","Anemia","caffrorum","Angiosperm"
"14","Anemopaegma orbiculatum","TropicalDry","W","DD",1.76,91.85,-1.51333333333333,74.3515349066667,1.26333333333333,0,0,NA,93.3160695093333,85.8377592722383,7.47831023709498,4.25942363258395,-115.056533333333,3,1,"Contributed","L","Bignoniaceae","Anemopaegma","orbiculatum","Angiosperm"
"15","Annona reticulata","TropicalDry","W","DD",1.678,92.177,-1.40733333333333,51.3590981818971,2.44133333333333,1,0,NA,125.384678361405,115.580563262968,9.80411509843707,5.87898637333333,-222.602655666667,3,1,"Contributed","T","Annonaceae","Annona","reticulata","Angiosperm"
"16","Anthurium scandens","TropicalMoist","W",NA,0.974131806,90.613389312,-0.8518748828,102.421156280418,3.70092705753276,1,1,NA,379.05322854199,343.472977678459,35.5802508635315,31.5702740889011,-331.652617221998,5,1,"Contributed","L","Araceae","Anthurium","scandens","Angiosperm"
"17","Antidesma montanum","TropicalDry","W","E",1.172632,NA,-0.758652222,57.60002016,2.315388006,0,0,NA,133.366395823822,NA,NA,NA,NA,1,1,"Contributed","T","Phyllanthaceae","Antidesma","montanum","Angiosperm"
"18","Arbutus unedo","Med/TempDry","W","E",1.560715,92.1209685,-1.23220033333333,152.298112333333,1.71574021727626,0,1,0.5916264,249.679141281267,229.916245524823,19.7628957564444,13.1009770269316,-156.027666190625,6,2,"Contributed","T","Ericaceae","Arbutus","unedo","Angiosperm"
"19","Artemisia frigida","Grassland","H","A",1.54,87.654,-1.128,46.810548,1.542,0,0,NA,72.181865016,63.2702919611246,8.91157305487536,5.78673574991907,-133.620468,1,1,"Contributed","H","Asteraceae","Artemisia","frigida","Angiosperm"
"20","Astragalus drummondii","Grassland","H","A",1.51,89.23,-1.076,80.37173783,2.942,0,0,NA,236.45365269586,210.987594300516,25.4660583953441,16.864939334665,-259.57266,1,1,"Contributed","H","Fabaceae","Astragalus","drummondii","Angiosperm"
"21","Astragalus laxmannii","Grassland","H","A",2.256,83.338,-1.74,92.4176654142005,2.31,1,0,NA,213.484807106803,177.913968546668,35.5708385601356,15.767215673819,-190.20078,1,1,"Contributed","H","Fabaceae","Astragalus","laxmannii","Angiosperm"
"22","Astragalus shortianus","Grassland","H","A",1.315714286,93.03142857,-0.967142857,106.7638585,4.945714286,0,0,NA,528.023540211933,491.227842645049,36.7956975668833,27.9663282206569,-455.161151039638,1,1,"Contributed","H","Fabaceae","Astragalus","shortianus","Angiosperm"
"23","Astronium graveolens","TropicalDry","W","DD",1.9866,93.102,-1.4864,64.3473556493664,1.3272,1,0,NA,85.4018104178391,79.5107935352165,5.89101688262254,9.21912137192,-122.2377744,1,1,"Contributed","T","Anacardiaceae","Astronium","graveolens","Angiosperm"
"24","Athyrium filix-femina","Fern","H","A",0.88,94.55,-0.76,24.7,5.2,0,0,NA,128.44,121.44002,6.99998000000001,7.95452272727274,-486.46,1,1,"Contributed","H","Athyriaceae","Athyrium","filix-femina","Angiosperm"
"25","Avena sativa","Crop","H","H",1.451671,90.512986,-1.186409,67.968646,3.121787,0,0,0.416858,212.183635490402,192.053744285719,20.1298912046834,13.8667034091632,-279.440476025982,1,1,"Contributed","H","Poaceae","Avena","sativa","Angiosperm"
"26","Baccaurea ramiflora","TropicalDry","W","E",1.2124067165,67.8103373,-0.8336093555,66.2927011,2.8886164345,0,0,NA,184.2139837806,126.322994494026,59.9657035479258,53.8794729010733,-231.678830396519,2,1,"Contributed","T","Phyllanthaceae","Baccaurea","ramiflora","Angiosperm"
"27","Baccharis uncinella","TropicalDry","W","E",2.13,66.32,-1.42,109.950247,NA,0,1,NA,NA,NA,NA,NA,NA,1,1,"Contributed","S","Asteraceae","Baccharis","uncinella","Angiosperm"
"28","Banisteriopsis muricata","TropicalDry","W","DD",2.60333333333333,87.26,-2.26333333333333,60.49196683,1.60666666666667,0,0,NA,97.7966142966333,84.5581547671313,13.2384595295021,5.13778203321115,-137.456533333333,3,1,"Contributed","L","Malpighiaceae","Banisteriopsis","muricata","Angiosperm"
"29","Barbacenia purpurea","TropicalMoist","H","E",0.861849,94.702832,-0.658569,92.288362,1.882977,0,0,0.758193,173.776863013674,164.57161063471,9.20525237896419,10.680818077139,-176.440277490864,1,1,"Contributed","H","Velloziaceae","Barbacenia","purpurea","Angiosperm"
"30","Barringtonia pendula","TropicalDry","W","E",1.1578919665,70.962,-0.7965940695,67.117917155,2.6333908365,0,0,NA,177.423776593129,107.325944661549,43.9183053054038,42.8757974409461,-163.087156505292,2,1,"Contributed","T","Lecythidaceae","Barringtonia","pendula","Angiosperm"
"31","Bauhinia ungulata","TropicalDry","W","DD",2.64375,75.7675,-2.141,40.6462565625772,3.0435,1,0,NA,123.706881848204,93.7296117043377,29.977270143866,7.36771806924,-227.55488625,1,1,"Contributed","T","Fabaceae","Bauhinia","ungulata","Angiosperm"
"32","Beilschmiedia robusta","TropicalDry","W","E",1.625933333,NA,-1.012487875,68.6986187,2.414841854,0,0,NA,165.896299748747,NA,NA,NA,NA,1,1,"Contributed","T","Lauraceae","Beilschmiedia","robusta","Angiosperm"
"33","Betula papyrifera","Temperate","W","CD",1.54333333333333,82.3,-1.28333333333333,59.1558505187989,1.31155051067075,1,1,NA,77.5858859570932,63.2710196261664,14.3148663309267,9.85533021853299,-106.629056517532,3,2,"mb12",NA,"Betulaceae","Betula","papyrifera","Angiosperm"
"34","Betula pubescens","Temperate","W",NA,1.09,NA,NA,42.7656160947517,2.10727919651091,1,1,NA,90.1190931224425,NA,NA,NA,NA,1,1,"Contributed","T","Betulaceae","Betula","pubescens","Angiosperm"
"35","Bignonia aequinoctialis","TropicalDry","W","DD",1.75,87.195,-1.31,108.58246365,1.16,0,0,NA,125.9033865565,109.960946198265,15.9424403582346,9.37617444934398,-100.15715,2,1,"Contributed","L","Bignoniaceae","Bignonia","aequinoctialis","Angiosperm"
"36","Bignonia diversifolia","TropicalDry","W","DD",3.18,85.0533333333333,-2.70666666666667,43.9467356733333,1.97333333333333,0,0,NA,83.9518518573333,71.419019784228,12.5328320731054,3.93502919680137,-166.072533333333,3,1,"Contributed","L","Bignoniaceae","Bignonia","diversifolia","Angiosperm"
"37","Bourreria pulchra","TropicalDry","W","E",1.797333333,91.61666667,-1.482666667,NA,2.071,1,0,NA,NA,NA,NA,27.4908728970882,-187.66711667357,1,1,"Contributed","T","Ehretiaceae","Bourreria","pulchra","Angiosperm"
"38","Bourreria succulenta","TropicalDry","W","DD",2.77325,86.9925,-2.24875,105.511635522895,2.441,1,0,NA,257.553902311387,224.052578468233,33.5013238431537,20.2935598661,-209.9076925,1,1,"Contributed","T","Ehretiaceae","Bourreria","succulenta","Angiosperm"
"39","Bouteloua gracilis","Grassland","H","A",2.5940625,88.381937125,-1.9713541665,106.69024743,1.3354340465,0,0,NA,139.586292073641,123.994260803374,15.5920312702676,6.01744972271183,-116.49576839044,2,1,"Contributed","H","Poaceae","Bouteloua","gracilis","Angiosperm"
"40","Bursera simaruba","TropicalDry","W","DD",1.3351,93.937,-1.1457,72.1578494662986,1.5057,1,0,NA,108.648073941406,102.295302647021,6.35277129438497,19.851336085648,-140.260308,2,1,"Contributed","T","Burseraceae","Bursera","simaruba","Angiosperm"
"41","Byrsonima crassifolia","TropicalDry","W","DD/Semi-Deciduous",2.009,83.9263333333333,-1.438,117.283102356132,1.218,1,0,NA,142.850818669769,120.019187731745,22.8316309380245,13.5534956533333,-101.114889666667,3,1,"Contributed","T","Malpighiaceae","Byrsonima","crassifolia","Angiosperm"
"42","Caesalpinia gaumeri","TropicalDry","W","DD",2.2244,92.428,-2.0382,NA,1.475,1,0,NA,NA,NA,NA,9.40031905816,-134.8563,1,1,"Contributed","T","Fabaceae","Caesalpinia","gaumeri","Angiosperm"
"43","Callichlamys latifolia","TropicalDry","W","CD",1.447,81.7299,-1.0825,48.1589602784274,1.62141666666667,1,0,NA,78.0857408447802,63.7754157280961,14.310325116684,9.83186630588226,-130.805478265,6,1,"Contributed","L","Bignoniaceae","Callichlamys","latifolia","Angiosperm"
"44","Calycophylum candidissimum","TropicalDry","W","DD",1.465,88.251,-1.239,NA,2.551,1,0,NA,NA,NA,NA,13.92581144,-222.948153,2,1,"Contributed","T",NA,"Calycophylum","candidissimum","Angiosperm"
"45","Capsicum chinense cv. Habanero","Crop","W","A",1.11,90.5,-0.99,31.11,4.53,0,0,NA,140.9283,127.5401115,13.3881885,12.0614310810811,-405.435,1,1,"Contributed","H",NA,"Capsicum","Habanero","Angiosperm"
"46","Carex duriuscula","Grassland","H","A",3.6140398865,80.23518654,-2.6558297745,82.276508505,1.3988780165,0,0,NA,115.637757237733,93.333148742131,22.3046084956021,6.17039116855437,-111.264106921848,2,1,"Contributed","H","Cyperaceae","Carex","duriuscula","Angiosperm"
"47","Carpinus viminea","TropicalDry","W","CD",2.625,81.05,-2.14,58.0795262257713,1.54550082728777,1,1,NA,89.7619558304112,72.7520652005483,17.0098906298629,6.45470064198684,-123.717341224386,2,1,"mb14",NA,"Betulaceae","Carpinus","viminea","Angiosperm"
"48","Casearia corymbosa","TropicalDry","W","DD",2.5532,88.922,-2.3674,84.5325325952678,3.5458,1,0,NA,299.7354540763,266.530760473728,33.2046936025726,11.592047213792,-311.7538276,1,1,"Contributed","T","Salicaceae","Casearia","corymbosa","Angiosperm"
"49","Casearia sylvestris","TropicalDry","W","E",2.88,91.1633333333333,-2.55666666666667,67.6363361542681,1.43882908663967,1,1,NA,97.3171277724992,88.7336584799574,8.58346929254181,3.00706454714675,-129.729626548388,3,2,"mb12",NA,"Salicaceae","Casearia","sylvestris","Angiosperm"
"50","Cavendishia capitulata","TropicalMoist","W",NA,1.4306410545,86.83428887,-1.2787611635,NA,NA,1,1,NA,NA,NA,NA,18.6808703730464,NA,2,1,"Contributed","S","Ericaceae","Cavendishia","capitulata","Angiosperm"
"51","Cavendishia complectens","TropicalMoist","W",NA,1.032159261,74.65050378,-0.812135385,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,"Contributed","S","Ericaceae","Cavendishia","complectens","Angiosperm"
"52","Cavendishia limonensis","TropicalMoist","W",NA,0.937052407,94.79443427,-0.887684367,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,"Contributed","S",NA,"Cavendishia","limonensis","Angiosperm"
"53","Cavendishia melastomoides","TropicalMoist","W",NA,1.482407879,85.43968454,-1.351249597,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,"Contributed","S","Ericaceae","Cavendishia","melastomoides","Angiosperm"
"54","Cavendishia quercina","TropicalMoist","W",NA,1.976380651,74.2067305,-1.56555666,NA,NA,1,1,NA,NA,NA,NA,NA,NA,2,1,"Contributed","S","Ericaceae","Cavendishia","quercina","Angiosperm"
"55","Cecropia pachystachya","TropicalDry","W","E",0.944519901,86.16113,-0.837016741,53.54567629,4.694685021,0,0,NA,251.380084417978,216.591921329484,34.7881630884942,36.8315829572915,-399.804681382434,1,1,"Contributed","T","Urticaceae","Cecropia","pachystachya","Angiosperm"
"56","Cedrela fissilis","TropicalDry","W","DD",1.690159151,79.56196,-1.336090914,56.1558846,2.483628079,0,0,NA,139.470331793644,110.965329593526,28.5050022001176,16.8652769671142,-195.118689797275,1,1,"Contributed","T","Meliaceae","Cedrela","fissilis","Angiosperm"
"57","Cedrela odorata","TropicalDry","W","DD",1.631,91.1393333333333,-1.25233333333333,48.38478609193,2.02966666666667,1,0,NA,98.2049875045873,89.7404870610734,8.46450044351395,6.44947024,-183.442863666667,3,1,"Contributed","T","Meliaceae","Cedrela","odorata","Angiosperm"
"58","Ceiba speciosa","TropicalDry","W","DD",1.101486903,83.23366,-0.894855304,45.53538473,4.707981296,0,0,NA,214.379739615004,178.436103580038,35.9436360349662,32.6319232095002,-387.154533181623,1,1,"Contributed","T","Malvaceae","Ceiba","speciosa","Angiosperm"
"59","Celtis australis","Med/TempDry","W","CD",1.79845,81.2008665,-1.448805,83.6254021047599,1.89792278160605,1,1,0.532635,146.553520822021,123.414129994422,23.1393908275987,12.4491573743767,-148.40409366487,2,2,"Contributed","T","Cannabaceae","Celtis","australis","Angiosperm"
"60","Celtis occidentalis","Temperate","W","CD",1.91,84.65,-1.725,30.4752955184773,3.53575724967645,1,1,NA,107.753247065488,91.2131236409359,16.5401234245524,8.50190769126092,-295.766093935435,2,1,"mb14",NA,"Cannabaceae","Celtis","occidentalis","Angiosperm"
"61","Centella asiatica","TropicalDry","H","H",1.073293,96.453595,-0.804257,35.260597,7.175554,0,0,0.838486,253.014317845738,244.041405426941,8.97291241879711,8.36017044627805,-684.93242541663,1,1,"Contributed","H","Apiaceae","Centella","asiatica","Angiosperm"
"62","Ceratonia siliqua","Med/TempDry","W","E",1.251183,93.580317,-0.940646,161.506178,1.5555205,0,0,0.729597,245.825530172655,229.933303504535,15.89222666812,13.0095945061716,-144.133878183586,2,1,"Contributed","T","Fabaceae","Ceratonia","siliqua","Angiosperm"
"63","Chionolaena capitata","TropicalDry","W","E",1.13,77.09,-0.84,52.83511041,NA,0,1,NA,NA,NA,NA,NA,NA,1,1,"Contributed","S",NA,"Chionolaena","capitata","Angiosperm"
"64","Chisocheton siamensis","TropicalDry","W","E",1.2020842335,65.88166023,-0.7996070765,43.13330061,2.931261395,0,0,NA,125.553276649155,83.2506518123429,43.1132733251018,47.2133877902613,-206.688449610391,2,1,"Contributed","T","Meliaceae","Chisocheton","siamensis","Angiosperm"
"65","Chlorophytum comosum","TropicalDry","H","E",0.575033,95.21955,-0.486422,49.599781,8.652321,0,0,0.666765,429.153226741701,408.637771313927,20.5154554277736,35.6770053679939,-815.21779107555,1,1,"Contributed","H","Asparagaceae","Chlorophytum","comosum","Angiosperm"
"66","Chomelia spinosa","TropicalDry","W","DD",1.2444,74.744,-0.9008,43.3187513326675,1.53519559438374,1,1,NA,66.502756200116,49.7068200942147,16.7959361059013,9.614581989312,-113.211463912235,1,1,"Contributed","T","Rubiaceae","Chomelia","spinosa","Angiosperm"
"67","Chusquea pinifolia","TropicalDry","H","E",3.18,83.24,-2.35,88.90726072,NA,0,1,NA,NA,NA,NA,NA,NA,1,1,"Contributed","H","Poaceae","Chusquea","pinifolia","Angiosperm"
"68","Cinnamomum bejolghota","TropicalDry","W","E",1.703032,NA,-1.055735135,93.40818348,1.552909127,0,0,NA,145.054420662583,NA,NA,NA,NA,1,1,"Contributed","T","Lauraceae","Cinnamomum","bejolghota","Angiosperm"
"69","Citrus x sinensis","Crop","W","E",1.254099,92.11795,-0.886844,126.844952,2.117573,0,0,0.721119,268.603445541496,247.431987662193,21.1714578793035,16.8818074803532,-192.94891073535,1,1,"Contributed","T","Rutaceae","Citrus","sinensis","Angiosperm"
"70","Cleidion brevipetiolatum","TropicalDry","W","E",2.030493333,NA,-1.239146725,64.03893398,1.823291107,0,0,NA,116.761618827494,NA,NA,NA,NA,1,1,"Contributed","T","Euphorbiaceae","Cleidion","brevipetiolatum","Angiosperm"
"71","Clusia stenophylla","TropicalMoist","W",NA,1.020794049,91.429104018,-0.9064931606,263.157894736842,NA,1,1,NA,NA,NA,NA,145.394990185109,NA,5,1,"Contributed","S","Clusiaceae","Clusia","stenophylla","Angiosperm"
"72","Coccoloba diversifolia","TropicalDry","W","E",2.676333333,85.02,-2.045,137.391157523639,5.219333333,1,0,NA,717.09024812258,609.670128953818,107.420119168763,14.5812133254882,-438.52838663866,1,1,"Contributed","T","Polygonaceae","Coccoloba","diversifolia","Angiosperm"
"73","Coccoloba microstachya","TropicalDry","W","DD",1.96,82.572,-1.4058,103.698550725691,3.6234,1,0,NA,375.741328699468,310.257129933725,65.4841987657434,15.550786092944,-295.5679848,1,1,"Contributed","T","Polygonaceae","Coccoloba","microstachya","Angiosperm"
"74","Cochlospermum vitifolium","TropicalDry","W","DD",1.1994,86.704,-0.9176,47.1353905817417,1.0488,1,0,NA,49.4355976421307,42.862640579633,6.57295706249769,17.293404127344,-89.8863552,1,1,"Contributed","T","Cochlospermaceae","Cochlospermum","vitifolium","Angiosperm"
"75","Cochospermum vitifolium","TropicalDry","W","DD",1.171,85.2466666666667,-0.702666666666667,NA,2.02133333333333,1,0,NA,NA,NA,NA,30.9022102933333,-169.783705333333,3,1,"Contributed","T",NA,"Cochospermum","vitifolium","Angiosperm"
"76","Coffea arabica","Crop","W","E",1.5,92.007,-1.18,66.3545646952646,2.948,1,0,NA,195.61325672164,179.977889111879,15.6353676097607,80.205828088,-268.288636,1,1,"Contributed","S","Rubiaceae","Coffea","arabica","Angiosperm"
"77","Columnea glabra","TropicalMoist","W",NA,1.314534828,94.68996899,-1.245944348,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,"Contributed","L","Gesneriaceae","Columnea","glabra","Angiosperm"
"78","Columnea insignis","TropicalMoist","W",NA,1.889164693,79.41800354,-1.312230256,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,"Contributed","L",NA,"Columnea","insignis","Angiosperm"
"79","Columnea lepidocaulis","TropicalMoist","W",NA,1.26035575266667,91.1511234733333,-1.15278863666667,NA,NA,1,1,NA,NA,NA,NA,NA,NA,3,1,"Contributed","L",NA,"Columnea","lepidocaulis","Angiosperm"
"80","Columnea magnifica","TropicalMoist","W",NA,0.901535028,87.39200191,-0.803155855333333,NA,NA,1,1,NA,NA,NA,NA,NA,NA,3,1,"Contributed","L","Gesneriaceae","Columnea","magnifica","Angiosperm"
"81","Combretum farinosum","TropicalDry","W","DD",2.45333333333333,83.85,-1.98666666666667,77.58070304,1.20666666666667,0,0,NA,93.7685350548667,78.5479447560247,15.220590298842,6.20098768392895,-99.9063333333333,3,1,"Contributed","L","Combretaceae","Combretum","farinosum","Angiosperm"
"82","Cordia alliodora","TropicalMoist","W","CD",1.97,91.3,-1.76,60.7635171261786,1.90907272638656,1,1,NA,116.00197330491,105.909801627383,10.0921716775272,5.1229297855468,-172.389267192706,1,1,"mb12",NA,"Cordiaceae","Cordia","alliodora","Angiosperm"
"83","Cordia collococca","TropicalMoist","W","DD",1.743,78.678,-1.3963,76.8301050641142,1.84385720481768,1,1,NA,141.663742769366,110.492060391498,31.1716823778677,15.0634529567657,-141.969639209502,2,2,"Contributed","T","Cordiaceae","Cordia","collococca","Angiosperm"
"84","Cordia cymosa","TropicalMoist","W","E",1.5,93,-1.34,62.9024772306711,2.45316525095746,1,1,NA,154.310171341425,143.508459347525,10.8017119938998,7.20114132926652,-225.691203088086,1,1,"mb12",NA,"Cordiaceae","Cordia","cymosa","Angiosperm"
"85","Cordia dentata","TropicalMoist","W","CD",2.14,89,-1.88,86.0704307707574,2.15215212619028,1,1,NA,185.236660585399,164.860627921005,20.3760326643939,9.52151059083827,-189.389387104745,1,1,"mb12",NA,"Cordiaceae","Cordia","dentata","Angiosperm"
"86","Cordia lasiocalyx","TropicalMoist","W","E",1.63,91,-1.48,59.5533980811271,1.63707245770368,1,1,NA,97.4932277612763,88.7188372627615,8.77439049851486,5.38306165553059,-147.336521193331,1,1,"mb12",NA,"Cordiaceae","Cordia","lasiocalyx","Angiosperm"
"87","Cordia panamensis","TropicalMoist","W","E",2,90,-1.79,66.5841032575375,1.54803097632085,1,1,NA,103.074254373214,92.7668289358926,10.3074254373214,5.1537127186607,-137.774756892556,1,1,"mb12",NA,"Cordiaceae","Cordia","panamensis","Angiosperm"
"88","Cornus florida","Temperate","W","CD",2.18,78.5,-1.695,40.2397726716746,3.01877059917829,1,1,NA,121.474642658869,95.3575944872125,26.1170481716569,12.224672725204,-233.954721436317,2,1,"mb14",NA,"Cornaceae","Cornus","florida","Angiosperm"
"89","Cortaderia modesta","TropicalDry","H","E",2.82,80.87,-2.32,160.8932612,NA,0,1,NA,NA,NA,NA,NA,NA,1,1,"Contributed","H","Poaceae","Cortaderia","modesta","Angiosperm"
"90","Cosmibuena valerii","TropicalMoist","W",NA,1.332322023,83.9685727266667,-1.16432349166667,NA,NA,1,1,NA,NA,NA,NA,NA,NA,3,1,"Contributed","S","Rubiaceae","Cosmibuena","valerii","Angiosperm"
"91","Craterostigma plantagineum","Med/TempDry","H","H",0.793118,88.59346,-0.663169,51.459534,9.411594,0,0,0.308434,484.316241437196,429.072515631166,55.2437258060303,69.6538545412289,-824.39408257524,1,1,"Contributed","H","Linderniaceae","Craterostigma","plantagineum","Angiosperm"
"92","Crescentia cujete","TropicalDry","W","E",1.327375,88.9067125,-1.17275,64.3290439027684,2.366125,1,0,NA,152.210559004438,134.953638161729,17.256920842709,13.1938378871697,-207.42035708375,8,1,"Contributed","T","Bignoniaceae","Crescentia","cujete","Angiosperm"
"93","Crossopetalum rhacoma","TropicalDry","W","E",1.6874,90.384,-1.1722,170.400000001131,7.539,1,0,NA,1284.64560000853,1161.11407911171,123.53152089682,27.189730683632,-673.865976,1,1,"Contributed","T","Celastraceae","Crossopetalum","rhacoma","Angiosperm"
"94","Cupania guatemalensis","TropicalDry","W","E",2.4356,83.316,-2.0982,66.5220899954139,0.8032,1,0,NA,53.4305426843165,44.5161909428651,8.91435174145136,9.306192823216,-66.1162112,1,1,"Contributed","T","Sapindaceae","Cupania","guatemalensis","Angiosperm"
"95","Curatella americana","TropicalDry","W","DD/Semi-Deciduous",2.325,85.216,-1.91333333333333,118.652746466052,1.13633333333333,1,0,NA,134.829070900924,114.797937054424,20.0311338465003,12.7908488,-95.6148506666667,3,1,"Contributed","T","Dilleniaceae","Curatella","americana","Angiosperm"
"96","Cylindrokelupha yunnanensis","TropicalDry","W","E",1.50148,NA,-0.942801247,54.01066007,1.551756477,0,0,NA,83.8113915906678,NA,NA,NA,NA,1,1,"Contributed","T",NA,"Cylindrokelupha","yunnanensis","Angiosperm"
"97","Dalberigia retusa","TropicalDry","W","DD",2.256,82.8603333333333,-1.69666666666667,NA,1.453,1,0,NA,NA,NA,NA,13.90779616,-119.020424333333,3,1,"Contributed","T",NA,"Dalberigia","retusa","Angiosperm"
"98","Davallia canariensis","TropicalDry","F","E",1.672044,94.431591,-1.311468,78.133931,2.360804,0,0,0.712302,184.458896840524,174.187471027556,10.2714258129685,6.14303559772856,-220.573673759164,1,1,"Contributed",NA,"Davalliaceae","Davallia","canariensis","Angiosperm"
"99","Davilla kunthii","TropicalDry","W","E",1.58658333333333,77.23835,-1.16041666666667,NA,1.86276666666667,1,0,NA,NA,NA,NA,NA,-140.9808990475,12,1,"Contributed","L","Dilleniaceae","Davilla","kunthii","Angiosperm"
"100","Dichapetalum gelonioides","TropicalDry","W","E",1.902989333,NA,-1.167734305,56.77059178,1.831038789,0,0,NA,103.949155623665,NA,NA,NA,NA,1,1,"Contributed","T","Dichapetalaceae","Dichapetalum","gelonioides","Angiosperm"
"101","Diospyros nigrocortex","TropicalDry","W","E",1.8567514165,83.775,-1.3616243935,68.4367926,1.841028179,0,0,NA,121.923525492645,88.1286407332166,17.0681849704141,10.501627537995,-171.474872261,2,1,"Contributed","T","Ebenaceae","Diospyros","nigrocortex","Angiosperm"
"102","Dipteryx oleifera","TropicalDry","W","CD",1.32816666666667,88.8466,-1.18483333333333,53.3120884075921,1.96956666666667,1,0,NA,105.00171225798,93.3550927855108,11.646619472469,8.86430592161753,-173.140986256667,6,1,"Contributed","T","Fabaceae","Dipteryx","oleifera","Angiosperm"
"103","Disterigma humboldtii","TropicalMoist","W",NA,1.60909753933333,77.2407041533333,-1.278943779,NA,NA,1,1,NA,NA,NA,NA,NA,NA,3,1,"Contributed","S","Ericaceae","Disterigma","humboldtii","Angiosperm"
"104","Doliocarpus major","TropicalDry","W","E",1.40483333333333,86.1267,-1.12416666666667,64.3652396677886,1.75856666666667,1,0,NA,113.190564971784,97.8420370705086,15.3485279012755,11.0228731976461,-150.252111108333,6,1,"Contributed","L","Dilleniaceae","Doliocarpus","major","Angiosperm"
