"","Species","Biome","Growth.Form","Ever.Decid","TLP","totRWCtlp","Po","LMA","SWC","Ref","LMA_imputed","SWC_imputed","Lat","Lon","Treatment","ApoFrac","sympRWCtlp","T.S.L.H","Wild.Garden","Life.Stage","Psi.PD","Psi.min","Rehydrated","Elev","SWA","LWAtlp","water_loss.m2","CFT.g.m2","Other.Notes","Dataset","RWCslope","water_loss.g","Family","Genus","Species_name","Gymno.Angio"
"1412","Fraxinus pennsylvanica","Temperate","W","CD",-2.36,82.2,-1.8,52.7,2.72838787108727,"Abrams et al. 1990",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143.786040806299,118.192125542778,25.5939152635212,10.8448793489497,NA,"mb12",-42.008,-221.545095132286,"Oleaceae","Fraxinus","pennsylvanica","Angiosperm"
"1512","Larix decidua","TemperateConifer","W","CD",-2.67,93.3,-2.02,92.6,1.64367776929032,"Badalotti et al. 2000",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152.204561436284,142.006855820053,10.197705616231,3.81936539933745,NA,"mb12",-17.889,-151.711458105497,"Pinaceae","Larix","decidua","Gymnosperm"
"1611","Miconia albicans","TropicalDry","W","E",-2.48,87,-1.77,153,2.10379429541231,"Wenhui 1998",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,321.880527198083,280.036058662333,41.8444685357508,16.8727695708673,NA,"mb12",-32.24,-180.926309405459,"Melastomataceae","Miconia","albicans","Angiosperm"
"1711","Oryza sativa","Crop","H","",-1.41,89.2,-1.19,51.1379332543958,2.68958948198216,"Bakul et al. 2011, Henson 1984",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137.540047411329,122.685722290905,14.8543251204235,10.5349823549103,NA,"mb12",-15.228,-237.221792310827,"Poaceae","Oryza","sativa","Angiosperm"
"1811","Picea mariana","TemperateConifer","W","E",-2.17,74.6,-1.61,338.7,3.50305334370931,"Hietz & Briones 1998, Blake & Li 2003, Major & Johnsen 1999",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1186.48416751434,885.1171889657,301.366978548643,138.8787919579,NA,"mb12",-55.118,-257.824726097005,"Pinaceae","Picea","mariana","Gymnosperm"
"1911","Pinus cembra","TemperateConifer","W","E",-2.34,87.4,-1.74,241.251377226449,1.31744192347463,"Badalotti et al. 2000",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,317.834678454117,277.787508968898,40.0471694852187,17.1141749936832,NA,"mb12",-29.484,-113.826982188208,"Pinaceae","Pinus","cembra","Gymnosperm"
"2011","Prunus serotina","Temperate","W","CD",-1.42,90,-1.14,35.9,2.15593092750656,"Abrams et al. 1992",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.3979202974855,69.6581282677369,7.73979202974856,5.45055776742856,NA,"mb12",-14.2,-191.877852548084,"Rosaceae","Prunus","serotina","Angiosperm"
"2111","Quercus serrata","Temperate","W","CD",-1.97,92,-1.66,74.0634894082923,1.08129258389054,"Saito & Terashima 2004",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.084301834242,73.6775576875027,6.40674414673937,3.2521543892078,NA,"mb12",-15.76,-98.3976251340391,"Fagaceae","Quercus","serrata","Angiosperm"
"2211","Salix arctica","Tundra","W","CD",-1.45,81.9,-1.2,81,1.50072110245036,"Dawson & Bliss 1989",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121.558409298479,99.5563372154544,22.0020720830247,15.1738428158791,NA,"mb12",-26.245,-121.408337188234,"Salicaceae","Salix","arctica","Angiosperm"
"2311","Salix arctica","Tundra","W","CD",-1.5,81.6,-1.31,81,1.50072110245036,"Dawson & Bliss 1989",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121.558409298479,99.191661987559,22.3667473109202,14.9111648739468,NA,"mb12",-27.6,-120.958120857499,"Salicaceae","Salix","arctica","Angiosperm"
