"","Species","Biome","Growth.Form","Ever.Decid","TLP","totRWCtlp","Po","LMA","SWC","Ref","LMA_imputed","SWC_imputed","Lat","Lon","Treatment","ApoFrac","sympRWCtlp","T.S.L.H","Wild.Garden","Life.Stage","Psi.PD","Psi.min","Rehydrated","Elev","SWA","LWAtlp","water_loss.m2","CFT.g.m2","Other.Notes","Dataset","RWCslope","water_loss.g","Family","Genus","Species_name","Gymno.Angio"
"141","Sequoiadendron giganteum","TemperateConifer","W","E",-1.98061,87.909,-1.49464,574.86386,1.39071,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",0,0,"36.1424",-118.5199,"Tree: 696, Height: 42.8",0.51863,74.882,"T","Wild","Ad",NA,NA,"Y",1861,799.4689187406,702.805131775674,96.6637869649259,48.8050585248615,"Metadata and raw data files are provided.","Contributed",-23.94755551,-120.86521539,"Cupressaceae","Sequoiadendron","giganteum","Gymnosperm"
"142","Sequoiadendron giganteum","TemperateConifer","W","E",-1.8613,88.557,-1.40944,530.18739,1.27129,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",0,0,"36.1424",-118.5199,"Tree: 696, Height: 42.5",0.53845,75.208,"T","Wild","Ad",NA,NA,"Y",1861,674.0219270331,596.893597922702,77.1283291103977,41.4378816474495,"Metadata and raw data files are provided.","Contributed",-21.2988559,-111.31033853,"Cupressaceae","Sequoiadendron","giganteum","Gymnosperm"
"143","Sequoiadendron giganteum","TemperateConifer","W","E",-1.9451,88.552,-1.42203,485.57279,1.06375,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",0,0,"36.1424",-118.5199,"Tree: 696, Height: 41.7",0.60004,71.376,"T","Wild","Ad",NA,NA,"Y",1861,516.5280553625,457.395923584601,59.132131777899,30.4005612965395,"Metadata and raw data files are provided.","Contributed",-22.2675048,-93.13344,"Cupressaceae","Sequoiadendron","giganteum","Gymnosperm"
"144","Sequoiadendron giganteum","TemperateConifer","W","E",-2.00322,88.843,-1.55903,482.10737,1.21273,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",0,0,"36.1424",-118.5199,"Tree: 696, Height: 39.6",0.51858,76.824,"T","Wild","Ad",NA,NA,"Y",1861,584.6660708201,519.434877298702,65.2311935213985,32.5631700569076,"Metadata and raw data files are provided.","Contributed",-22.34992554,-106.52984139,"Cupressaceae","Sequoiadendron","giganteum","Gymnosperm"
"145","Sequoiadendron giganteum","TemperateConifer","W","E",-1.44997,91.189,-1.02092,527.27196,1.27124,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",0,0,"36.1424",-118.5199,"Tree: 696, Height: 35.4",0.71457,69.131,"T","Wild","Ad",NA,NA,"Y",1861,670.2892064304,611.230024451817,59.0591819785826,40.7313130468786,"Metadata and raw data files are provided.","Contributed",-12.77568567,-114.65186436,"Cupressaceae","Sequoiadendron","giganteum","Gymnosperm"
"146","Sequoiadendron giganteum","TemperateConifer","W","E",-1.65474,89.894,-1.05225,539.93772,1.01498,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",0,0,"36.1424",-118.5199,"Tree: 696, Height: 33.6",0.72781,62.872,"T","Wild","Ad",NA,NA,"Y",1861,548.0259870456,492.642480794772,55.3835062508283,33.4696122960878,"Metadata and raw data files are provided.","Contributed",-16.72280244,-90.22563212,"Cupressaceae","Sequoiadendron","giganteum","Gymnosperm"
"147","Sequoiadendron giganteum","TemperateConifer","W","E",-1.79801,88.869,-1.35837,486.96766,1.49358,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",0,0,"36.1424",-118.5199,"Tree: 696, Height: 32.9",0.55863,74.78,"T","Wild","Ad",NA,NA,"Y",1861,727.3251576228,646.366594327806,80.9585632949938,45.0267591921034,"Metadata and raw data files are provided.","Contributed",-20.01364931,-131.23938102,"Cupressaceae","Sequoiadendron","giganteum","Gymnosperm"
"148","Sequoiadendron giganteum","TemperateConifer","W","E",-1.75277,90.197,-1.41763,476.01722,1.81156,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",0,0,"36.1424",-118.5199,"Tree: 696, Height: 30.8",0.5068,80.124,"T","Wild","Ad",NA,NA,"Y",1861,862.3337550632,777.799177054354,84.5345780088455,48.2291333197428,"Metadata and raw data files are provided.","Contributed",-17.18240431,-161.58571732,"Cupressaceae","Sequoiadendron","giganteum","Gymnosperm"
"149","Sequoiadendron giganteum","TemperateConifer","W","E",-1.85363,88.407,-1.46749,503.16375,1.4359,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",0,0,"36.1424",-118.5199,"Tree: 696, Height: 27.9",0.45268,78.818,"T","Wild","Ad",NA,NA,"Y",1861,722.492828625,638.734235002504,83.7585936224963,45.1862527162898,"Metadata and raw data files are provided.","Contributed",-21.48913259,-125.5077113,"Cupressaceae","Sequoiadendron","giganteum","Gymnosperm"
"150","Sequoiadendron giganteum","TemperateConifer","W","E",-1.53626,91.08,-1.12683,515.37022,1.55165,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",0,0,"36.1424",-118.5199,"Tree: 696, Height: 27",0.67339,72.688,"T","Wild","Ad",NA,NA,"Y",1861,799.674201863,728.34326305682,71.3309388061796,46.4315537774723,"Metadata and raw data files are provided.","Contributed",-13.7034392,-139.772632,"Cupressaceae","Sequoiadendron","giganteum","Gymnosperm"
"151","Sequoiadendron giganteum","TemperateConifer","W","E",-1.60085,91.14,-1.17037,485.13375,1.39809,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",0,0,"36.1424",-118.5199,"Tree: 696, Height: 22.6",0.68542,71.834,"T","Wild","Ad",NA,NA,"Y",1861,678.2606445375,618.166751431478,60.0938931060225,37.5387407352485,"Metadata and raw data files are provided.","Contributed",-14.183531,-126.0238326,"Cupressaceae","Sequoiadendron","giganteum","Gymnosperm"
"152","Sequoiadendron giganteum","TemperateConifer","W","E",-2.27681,85.09,-1.84905,544.14627,1.28984,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",0,0,"36.1424",-118.5199,"Tree: 1109, Height: 62.2",0.22382,80.79,"T","Wild","Ad",NA,NA,"Y",1861,701.8616248968,597.214056624687,104.647568272113,45.9623632503867,"Metadata and raw data files are provided.","Contributed",-33.9472371,-108.4626456,"Cupressaceae","Sequoiadendron","giganteum","Gymnosperm"
"153","Sequoiadendron giganteum","TemperateConifer","W","E",-2.29516,84.192,-1.54471,575.96593,1.04671,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",0,0,"36.1424",-118.5199,"Tree: 1109, Height: 61",0.53847,65.748,"T","Wild","Ad",NA,NA,"Y",1861,602.8692985903,507.567719869145,95.3015787211547,41.5228475231159,"Metadata and raw data files are provided.","Contributed",-36.28188928,-87.07789832,"Cupressaceae","Sequoiadendron","giganteum","Gymnosperm"
"154","Sequoiadendron giganteum","TemperateConifer","W","E",-2.32118,86.807,-1.76661,576.14883,1.01153,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",0,0,"36.1424",-118.5199,"Tree: 1109, Height: 58.5",0.46555,75.315,"T","Wild","Ad",NA,NA,"Y",1861,582.7918260099,505.904100404414,76.8877256054861,33.1244132749231,"Metadata and raw data files are provided.","Contributed",-30.62332774,-86.79635471,"Cupressaceae","Sequoiadendron","giganteum","Gymnosperm"
"155","Sequoiadendron giganteum","TemperateConifer","W","E",-1.97007,88.481,-1.49177,504.98823,1.22157,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",0,0,"36.1424",-118.5199,"Tree: 1109, Height: 55.5",0.53901,75.012,"T","Wild","Ad",NA,NA,"Y",1861,616.8784721211,545.82024091747,71.0582312036296,36.0688864881093,"Metadata and raw data files are provided.","Contributed",-22.69323633,-106.86416517,"Cupressaceae","Sequoiadendron","giganteum","Gymnosperm"
"156","Sequoiadendron giganteum","TemperateConifer","W","E",-1.75599,89.012,-1.38622,499.5947,1.45328,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",0,0,"36.1424",-118.5199,"Tree: 1109, Height: 52.7",0.49217,78.362,"T","Wild","Ad",NA,NA,"Y",1861,726.050985616,646.272503316514,79.7784822994861,45.4321962536723,"Metadata and raw data files are provided.","Contributed",-19.29481812,-127.90607936,"Cupressaceae","Sequoiadendron","giganteum","Gymnosperm"
"157","Sequoiadendron giganteum","TemperateConifer","W","E",-1.73106,89.201,-1.37544,551.61754,1.45922,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",0,0,"36.1424",-118.5199,"Tree: 1109, Height: 50.1",0.49434,78.643,"T","Wild","Ad",NA,NA,"Y",1861,804.9313467188,718.006810586637,86.9245361321633,50.2146292630893,"Metadata and raw data files are provided.","Contributed",-18.69371694,-128.70466322,"Cupressaceae","Sequoiadendron","giganteum","Gymnosperm"
"158","Sequoiadendron giganteum","TemperateConifer","W","E",-1.70799,89.975,-1.36738,577.96576,1.61791,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",0,0,"36.1424",-118.5199,"Tree: 1109, Height: 47.7",0.50795,79.626,"T","Wild","Ad",NA,NA,"Y",1861,935.0965827616,841.35315033975,93.7434324218506,54.8852349380562,"Metadata and raw data files are provided.","Contributed",-17.12259975,-143.95354225,"Cupressaceae","Sequoiadendron","giganteum","Gymnosperm"
"159","Sequoiadendron giganteum","TemperateConifer","W","E",-1.8488,88.993,-1.39736,508.85732,1.32822,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",0,0,"36.1424",-118.5199,"Tree: 1109, Height: 45.4",0.5624,74.847,"T","Wild","Ad",NA,NA,"Y",1861,675.8744695704,601.480966704786,74.393502865614,40.2388050982334,"Metadata and raw data files are provided.","Contributed",-20.3497416,-116.87406246,"Cupressaceae","Sequoiadendron","giganteum","Gymnosperm"
"160","Sequoiadendron giganteum","TemperateConifer","W","E",-2.01364,87.961,-1.56114,529.36965,1.16477,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",0,0,"36.1424",-118.5199,"Tree: 1109, Height: 42.8",0.48109,76.799,"T","Wild","Ad",NA,NA,"Y",1861,616.5938872305,542.36214914682,74.2317380836799,36.8644534691802,"Metadata and raw data files are provided.","Contributed",-24.24221196,-101.28956397,"Cupressaceae","Sequoiadendron","giganteum","Gymnosperm"
"161","Sequoiadendron giganteum","TemperateConifer","W","E",-1.65529,89.822,-1.284,554.28944,1.6042,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",0,0,"36.1424",-118.5199,"Tree: 1109, Height: 38.4",0.56219,76.754,"T","Wild","Ad",NA,NA,"Y",1861,889.191119648,798.689247490227,90.5018721577735,54.6743302731083,"Metadata and raw data files are provided.","Contributed",-16.84754162,-142.4882524,"Cupressaceae","Sequoiadendron","giganteum","Gymnosperm"
"162","Sequoiadendron giganteum","TemperateConifer","W","E",-1.90438,88.859,-1.55536,506.56431,1.41885,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",0,0,"36.1424",-118.5199,"Tree: 1109, Height: 38.1",0.40408,81.305,"T","Wild","Ad",NA,NA,"Y",1861,718.7387712435,638.664084739262,80.0746865042383,42.047640966739,"Metadata and raw data files are provided.","Contributed",-21.21669758,-124.65874215,"Cupressaceae","Sequoiadendron","giganteum","Gymnosperm"
"163","Sequoiadendron giganteum","TemperateConifer","W","E",-1.97463,88.599,-1.45203,505.36519,1.22418,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",0,0,"36.1424",-118.5199,"Tree: 1109, Height: 34.2",0.58494,72.532,"T","Wild","Ad",NA,NA,"Y",1861,618.6579582942,548.124764469078,70.5331938251217,35.7197013238539,"Metadata and raw data files are provided.","Contributed",-22.51275663,-107.23694382,"Cupressaceae","Sequoiadendron","giganteum","Gymnosperm"
"164","Sequoiadendron giganteum","TemperateConifer","W","E",-1.77248,89.295,-1.26351,566.76869,1.16772,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",0,0,"36.1424",-118.5199,"Tree: 1109, Height: 30.7",0.64266,70.043,"T","Wild","Ad",NA,NA,"Y",1861,661.8271346868,590.978539918578,70.8485947682219,39.971449476565,"Metadata and raw data files are provided.","Contributed",-18.9743984,-103.1038374,"Cupressaceae","Sequoiadendron","giganteum","Gymnosperm"
"165","Sequoiadendron giganteum","TemperateConifer","W","E",-1.59024,90.721,-1.28759,542.08637,1.58531,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",0,0,"36.1424",-118.5199,"Tree: 1109, Height: 26.9",0.52189,80.592,"T","Wild","Ad",NA,NA,"Y",1861,859.3749432247,779.63354224288,79.74140098182,50.1442555726305,"Metadata and raw data files are provided.","Contributed",-14.75583696,-142.23559851,"Cupressaceae","Sequoiadendron","giganteum","Gymnosperm"
"166","Sequoiadendron giganteum","TemperateConifer","W","E",-1.7004,89.774,-1.26412,490.30531,1.48994,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",0,0,"36.1424",-118.5199,"Tree: 1109, Height: 24",0.61605,73.365,"T","Wild","Ad",NA,NA,"Y",1861,730.5254935814,655.821956607766,74.703536973634,43.9329198856939,"Metadata and raw data files are provided.","Contributed",-17.3882904,-132.26793356,"Cupressaceae","Sequoiadendron","giganteum","Gymnosperm"
"167","Sequoiadendron giganteum","TemperateConifer","W","E",-1.57049,89.374,-1.20529,471.39408,1.764,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",0,0,"36.1424",-118.5199,"Tree: 1109, Height: 20.4",0.55484,76.13,"T","Wild","Ad",NA,NA,"Y",1861,831.53915712,743.179806284429,88.3593508355713,56.2622817309064,"Metadata and raw data files are provided.","Contributed",-16.68802674,-155.891736,"Cupressaceae","Sequoiadendron","giganteum","Gymnosperm"
"168","Sequoiadendron giganteum","TemperateConifer","W","E",-1.35919,91.226,-1.00227,488.26167,1.35933,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",0,0,"36.1424",-118.5199,"Tree: 1109, Height: 17.3",0.67905,72.663,"T","Wild","Ad",NA,NA,"Y",1861,663.7087358811,605.474931394892,58.2338044862078,42.844491562039,"Metadata and raw data files are provided.","Contributed",-11.92553306,-122.64690858,"Cupressaceae","Sequoiadendron","giganteum","Gymnosperm"
"169","Sequoiadendron giganteum","TemperateConifer","W","E",-1.93176,87.735,-1.45012,510.96733,1.22997,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",0,0,"36.1424",-118.5199,"Tree: 1109, Height: 13",0.52357,74.257,"T","Wild","Ad",NA,NA,"Y",1861,628.4744868801,551.392091064256,77.0823958158443,39.9026772558932,"Metadata and raw data files are provided.","Contributed",-23.6930364,-106.68144795,"Cupressaceae","Sequoiadendron","giganteum","Gymnosperm"
"170","Sequoiadendron giganteum","TemperateConifer","W","E",-1.30363,93.212,-1.01492,504.68589,1.58442,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",0,0,"36.1424",-118.5199,"Tree: 1109, Height: 9.8",0.70128,77.276,"T","Wild","Ad",NA,NA,"Y",1861,799.6344178338,745.355233551242,54.2791842825583,41.6369554877981,"Metadata and raw data files are provided.","Contributed",-8.84904044,-146.10253704,"Cupressaceae","Sequoiadendron","giganteum","Gymnosperm"
"171","Sequoiadendron giganteum","TemperateConifer","W","E",-2.7218,83.338,-2.0296,574.17096,1.11105,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",0,0,"36.21314",-118.6726,"Tree: 44, Height: 75.8",0.37099,73.51,"T","Wild","Ad",NA,NA,"Y",1966,637.932645108,531.640307780105,106.292337327895,39.0522218119976,"Metadata and raw data files are provided.","Contributed",-45.3506316,-91.4816349,"Cupressaceae","Sequoiadendron","giganteum","Gymnosperm"
"172","Sequoiadendron giganteum","TemperateConifer","W","E",-2.64628,85.068,-2.03122,515.44008,1.14306,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",0,0,"36.21314",-118.6726,"Tree: 44, Height: 74.6",0.3841,75.756,"T","Wild","Ad",NA,NA,"Y",1966,589.1789378448,501.202738845814,87.9761989989855,33.2452344419281,"Metadata and raw data files are provided.","Contributed",-39.51425296,-96.09476808,"Cupressaceae","Sequoiadendron","giganteum","Gymnosperm"
"173","Sequoiadendron giganteum","TemperateConifer","W","E",-2.75452,81.302,-1.9342,557.12106,0.89784,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",0,0,"36.21314",-118.6726,"Tree: 44, Height: 71.5",0.41461,68.059,"T","Wild","Ad",NA,NA,"Y",1966,500.2055725104,406.677134562405,93.5284379479946,33.9545321682161,"Metadata and raw data files are provided.","Contributed",-51.50401496,-72.09834768,"Cupressaceae","Sequoiadendron","giganteum","Gymnosperm"
"174","Sequoiadendron giganteum","TemperateConifer","W","E",-2.13067,88.694,-1.49894,543.17724,1.19753,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",0,0,"36.21314",-118.6726,"Tree: 44, Height: 67.6",0.63785,68.781,"T","Wild","Ad",NA,NA,"Y",1966,650.4710402172,576.928784410243,73.5422558069566,34.5160235076087,"Metadata and raw data files are provided.","Contributed",-24.08935502,-105.01619582,"Cupressaceae","Sequoiadendron","giganteum","Gymnosperm"
"175","Sequoiadendron giganteum","TemperateConifer","W","E",-1.65807,91.283,-1.2588,539.41011,1.32285,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",0,0,"36.21314",-118.6726,"Tree: 44, Height: 66.5",0.64951,75.128,"T","Wild","Ad",NA,NA,"Y",1966,713.5586640135,651.357755271443,62.2009087420568,37.5140426773639,"Metadata and raw data files are provided.","Contributed",-14.45339619,-119.43086655,"Cupressaceae","Sequoiadendron","giganteum","Gymnosperm"
"176","Sequoiadendron giganteum","TemperateConifer","W","E",-2.02814,89.785,-1.4549,506.04103,1.18201,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",0,0,"36.21314",-118.6726,"Tree: 44, Height: 61.7",0.65018,70.799,"T","Wild","Ad",NA,NA,"Y",1966,598.1455578703,537.044989133849,61.1005687364511,30.1264058380837,"Metadata and raw data files are provided.","Contributed",-20.7174501,-104.94475785,"Cupressaceae","Sequoiadendron","giganteum","Gymnosperm"
"177","Sequoiadendron giganteum","TemperateConifer","W","E",-1.73217,91.116,-1.16558,492.64927,1.36658,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",0,0,"36.21314",-118.6726,"Tree: 44, Height: 54.4",0.74735,64.835,"T","Wild","Ad",NA,NA,"Y",1966,673.2446393966,613.433585632606,59.811053763994,34.5295518130403,"Metadata and raw data files are provided.","Contributed",-15.38859828,-123.15072328,"Cupressaceae","Sequoiadendron","giganteum","Gymnosperm"
"178","Sequoiadendron giganteum","TemperateConifer","W","E",-1.77491,90.13,-1.28674,564.46461,1.24178,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",0,0,"36.21314",-118.6726,"Tree: 44, Height: 51.3",0.65701,71.224,"T","Wild","Ad",NA,NA,"Y",1966,700.9408634058,631.758000187648,69.1828632181525,38.9782373293026,"Metadata and raw data files are provided.","Contributed",-17.5183617,-110.6798514,"Cupressaceae","Sequoiadendron","giganteum","Gymnosperm"
"179","Sequoiadendron giganteum","TemperateConifer","W","E",-1.81065,88.724,-1.21826,503.24027,1.24093,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",0,0,"36.21314",-118.6726,"Tree: 44, Height: 50.6",0.67038,65.792,"T","Wild","Ad",NA,NA,"Y",1966,624.4859482511,554.068912726306,70.417035524794,38.8904733243829,"Metadata and raw data files are provided.","Contributed",-20.4168894,-108.85934332,"Cupressaceae","Sequoiadendron","giganteum","Gymnosperm"
"180","Sequoiadendron giganteum","TemperateConifer","W","E",-2.02982,88.99,-1.59494,610.39164,1.16513,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",0,0,"36.21314",-118.6726,"Tree: 44, Height: 46.7",0.52424,76.857,"T","Wild","Ad",NA,NA,"Y",1966,711.1856115132,632.884075685597,78.3015358276034,38.5756056338017,"Metadata and raw data files are provided.","Contributed",-22.3483182,-102.5197887,"Cupressaceae","Sequoiadendron","giganteum","Gymnosperm"
"181","Sequoiadendron giganteum","TemperateConifer","W","E",-1.83733,88.264,-1.24123,543.40584,1.19415,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",0,0,"36.21314",-118.6726,"Tree: 44, Height: 44.1",0.65046,66.423,"T","Wild","Ad",NA,NA,"Y",1966,648.908083836,572.752231117007,76.1558527189931,41.4491967795622,"Metadata and raw data files are provided.","Contributed",-21.56290488,-104.2063056,"Cupressaceae","Sequoiadendron","giganteum","Gymnosperm"
"182","Sequoiadendron giganteum","TemperateConifer","W","E",-1.82754,87.812,-1.22086,525.79091,1.03251,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",0,0,"36.21314",-118.6726,"Tree: 44, Height: 40.6",0.65266,64.91,"T","Wild","Ad",NA,NA,"Y",1966,542.8843724841,476.717625165738,66.1667473183621,36.2053620267475,"Metadata and raw data files are provided.","Contributed",-22.27405752,-89.63425812,"Cupressaceae","Sequoiadendron","giganteum","Gymnosperm"
"183","Sequoiadendron giganteum","TemperateConifer","W","E",-2.2135,89.091,-1.68929,539.87919,1.2703,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",0,0,"36.21314",-118.6726,"Tree: 44, Height: 30",0.55384,75.549,"T","Wild","Ad",NA,NA,"Y",1966,685.808535057,610.993681967632,74.8148530893682,33.7993463245395,"Metadata and raw data files are provided.","Contributed",-24.1470715,-111.9019973,"Cupressaceae","Sequoiadendron","giganteum","Gymnosperm"
"184","Sequoiadendron giganteum","TemperateConifer","W","E",-1.88315,89.707,-1.42798,586.39756,1.23435,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",0,0,"36.21314",-118.6726,"Tree: 44, Height: 29.8",0.5947,74.604,"T","Wild","Ad",NA,NA,"Y",1966,723.819828186,649.317053270815,74.502774915185,39.5628467807583,"Metadata and raw data files are provided.","Contributed",-19.38326295,-109.49548545,"Cupressaceae","Sequoiadendron","giganteum","Gymnosperm"
"185","Sequoiadendron giganteum","TemperateConifer","W","E",-1.59645,89.484,-1.16714,548.23438,1.23965,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",0,0,"36.21314",-118.6726,"Tree: 44, Height: 20.8",0.62961,71.61,"T","Wild","Ad",NA,NA,"Y",1966,679.618749167,608.150041504598,71.4687076624017,44.7672696685782,"Metadata and raw data files are provided.","Contributed",-16.7882682,-109.6891906,"Cupressaceae","Sequoiadendron","giganteum","Gymnosperm"
"186","Sequoiadendron giganteum","TemperateConifer","W","E",-1.65096,87.48,-1.1808,517.51902,1.12174,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",0,0,"36.21314",-118.6726,"Tree: 166, Height: 78.2",0.5788,70.276,"T","Wild","Ad",NA,NA,"Y",1966,580.5217854948,507.840457950851,72.681327543949,44.023675645654,"Metadata and raw data files are provided.","Contributed",-20.6700192,-97.0080752,"Cupressaceae","Sequoiadendron","giganteum","Gymnosperm"
"187","Sequoiadendron giganteum","TemperateConifer","W","E",-1.71679,91.475,-1.14707,549.66279,1.2781,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",0,0,"36.21314",-118.6726,"Tree: 166, Height: 71",0.75379,65.377,"T","Wild","Ad",NA,NA,"Y",1966,702.524011899,642.63383988461,59.8901720143898,34.8849725443355,"Metadata and raw data files are provided.","Contributed",-14.63563475,-115.6360975,"Cupressaceae","Sequoiadendron","giganteum","Gymnosperm"
