Contributor,Species,Treatment,Co-author?,Biomes,Growth_form,Tree/Shrub/Liana/Herb,Evergreen_Deciduous,Wild/Garden/Potted,Life Stage,πtlp (MPa),πtlp SD,πtlp SE,total RWCtlp (%),tot RWCtlp SD,tot RWCtlp SE,LMA (g/m2),LMA SD,LMA SE,SWC,SWC SD,SWC SE,CFT* (mol m-2 MPa-1),CFT SD,CFT SE,πo (MPa),ε (MPa),af,RWCtlp (%),Ψpd (MPa),Ψmin (MPa),Latitude,Longitude,Elevation (m),Site Name,Rehydrated?,Month Collected,Year Collected,Other Env Notes,Methods notes,Reference,Other Notes,,,,,,,,,,
Sybil Gotsch,Clusia stenophylla,NA,Y,Tropical montane cloud forest,W,S,,Wild,Ad,-1.227700412,,,91.0525782,,,,,,,,,,,,-1.12564671,33.09775503,,,,,10.279247,-84.78477,1100,"Upper CC, Curi Cancha Reserve, Monteverde",,,,,,https://www.jstor.org/stable/26641717,,,,,,,,,,,
Sybil Gotsch,Clusia stenophylla,NA,Y,Tropical montane cloud forest,W,S,,Wild,Ad,-0.953768587,,,88.09124783,,,,,,,,,7.830472003,,,-0.793933463,8.675586936,,,,,10.279247,-84.78477,1592,"CCT-Lab, Monteverde Reserve",,,,,,https://www.jstor.org/stable/26641718,,,,,,,,,,,
Sybil Gotsch,Columnea glabra,NA,Y,Tropical montane cloud forest,W,L,,Wild,Ad,-1.314534828,,,94.68996899,,,,,,,,,,,,-1.245944348,26.48964033,,,,,10.279247,-84.78477,1474,"Lower CC, Curi Cancha Reserve, Monteverde",,,,,,https://www.jstor.org/stable/26641719,,,,,,,,,,,
Sybil Gotsch,Columnea insignis,NA,Y,Tropical montane cloud forest,W,L,,Wild,Ad,-1.889164693,,,79.41800354,,,,,,,,,,,,-1.312230256,15.77427818,,,,,10.279247,-84.78477,1554,"CCT-Lab, Monteverde Reserve",,,,,,https://www.jstor.org/stable/26641720,,,,,,,,,,,
Sybil Gotsch,Columnea lepidocaulis,NA,Y,Tropical montane cloud forest,W,L,,Wild,Ad,-1.612325369,,,91.44459334,,,,,,,,,,,,-1.417709476,13.56334796,,,,,10.279247,-84.78477,1554,"Lower CC, Curi Cancha Reserve, Monteverde",,,,,,https://www.jstor.org/stable/26641721,,,,,,,,,,,
Sybil Gotsch,Columnea lepidocaulis,NA,Y,Tropical montane cloud forest,W,L,,Wild,Ad,-0.901089189,,,91.69981339,,,,,,,,,,,,-0.828829953,10.18049371,,,,,10.279247,-84.78477,1635,"CCT-Lab, Monteverde Reserve",,,,,,https://www.jstor.org/stable/26641722,,,,,,,,,,,
Sybil Gotsch,Columnea lepidocaulis,NA,Y,Tropical montane cloud forest,W,L,,Wild,Ad,-1.2676527,,,90.30896369,,,,,,,,,,,,-1.211826481,12.21202408,,,,,10.279247,-84.78477,1474,"El Valle, The Children’s Eternal Rainforest",,,,,,https://www.jstor.org/stable/26641723,,,,,,,,,,,
Sybil Gotsch,Columnea magnifica,NA,Y,Tropical montane cloud forest,W,L,,Wild,Ad,-1.242704744,,,84.92054008,,,,,,,,,,,,-1.123634324,26.27978314,,,,,10.279247,-84.78477,1070,"Buen Amigo, Private Farm, San Luis",,,,,,https://www.jstor.org/stable/26641724,,,,,,,,,,,
Sybil Gotsch,Columnea magnifica,NA,Y,Tropical montane cloud forest,W,L,,Wild,Ad,-0.903050838,,,89.01438704,,,,,,,,,,,,-0.797343078,9.096892453,,,,,10.279247,-84.78477,1554,"CCT-Lab, Monteverde Reserve",,,,,,https://www.jstor.org/stable/26641725,,,,,,,,,,,
Sybil Gotsch,Columnea magnifica,NA,Y,Tropical montane cloud forest,W,L,,Wild,Ad,-0.558849502,,,88.24107861,,,,,,,,,,,,-0.488490164,2.681627196,,,,,10.279247,-84.78477,1635,"El Valle, The Children’s Eternal Rainforest",,,,,,https://www.jstor.org/stable/26641726,,,,,,,,,,,
Sybil Gotsch,Cosmibuena valerii,NA,Y,Tropical montane cloud forest,W,S,,Wild,Ad,-2.014222009,,,72.17184495,,,,,,,,,,,,-1.739185707,6.121400422,,,,,10.279247,-84.78477,1554,"Upper CC, Curi Cancha Reserve, Monteverde",,,,,,https://www.jstor.org/stable/26641727,,,,,,,,,,,
Sybil Gotsch,Cosmibuena valerii,NA,Y,Tropical montane cloud forest,W,S,,Wild,Ad,-1.200120386,,,87.36851754,,,,,,,,,,,,-1.050008409,10.81921219,,,,,10.279247,-84.78477,1635,"CCT-Lab, Monteverde Reserve",,,,,,https://www.jstor.org/stable/26641728,,,,,,,,,,,
Sybil Gotsch,Cosmibuena valerii,NA,Y,Tropical montane cloud forest,W,S,,Wild,Ad,-0.782623674,,,92.36535569,,,,,,,,,,,,-0.703776359,7.626618436,,,,,10.279247,-84.78477,1592,"El Valle, The Children’s Eternal Rainforest",,,,,,https://www.jstor.org/stable/26641729,,,,,,,,,,,
Sybil Gotsch,Disterigma humboldtii,NA,Y,Tropical montane cloud forest,W,S,,Wild,Ad,-1.807128135,,,85.17915922,,,,,,,,,,,,-1.550470674,19.76896484,,,,,10.279247,-84.78477,1554,"Upper CC, Curi Cancha Reserve, Monteverde",,,,,,https://www.jstor.org/stable/26641730,,,,,,,,,,,
Sybil Gotsch,Disterigma humboldtii,NA,Y,Tropical montane cloud forest,W,S,,Wild,Ad,-1.877671868,,,62.65690829,,,,,,,,,,,,-1.324398134,43.25305814,,,,,10.279247,-84.78477,1635,"CCT-Lab, Monteverde Reserve",,,,,,https://www.jstor.org/stable/26641731,,,,,,,,,,,
Sybil Gotsch,Disterigma humboldtii,NA,Y,Tropical montane cloud forest,W,S,,Wild,Ad,-1.142492615,,,83.88604495,,,,,,,,,,,,-0.961962529,10.08965748,,,,,10.279247,-84.78477,1592,"El Valle, The Children’s Eternal Rainforest",,,,,,https://www.jstor.org/stable/26641732,,,,,,,,,,,
Sybil Gotsch,Elaphoglossum lingua,NA,Y,Tropical montane cloud forest,W,L,,Wild,Ad,-1.464285388,,,90.19919935,,,,,,,,,1.292282366,,,-1.304248179,14.69613716,,,,,10.279247,-84.78477,1554,"CCT-Lab, Monteverde Reserve",,,,,,https://www.jstor.org/stable/26641733,,,,,,,,,,,
Sybil Gotsch,Gonocalyx costaricensis,NA,Y,Tropical montane cloud forest,W,S,,Wild,Ad,-1.57716049,,,81.38810501,,,,,,,,,,,,-1.333058837,17.38698165,,,,,10.279247,-84.78477,1554,"Lower CC, Curi Cancha Reserve, Monteverde",,,,,,https://www.jstor.org/stable/26641734,,,,,,,,,,,
Sybil Gotsch,Gonocalyx costaricensis,NA,Y,Tropical montane cloud forest,W,S,,Wild,Ad,-1.447572493,,,87.25374174,,,,,,,,,1.404937812,,,-1.238956629,11.7957241,,,,,10.279247,-84.78477,1474,"Upper CC, Curi Cancha Reserve, Monteverde",,,,,,https://www.jstor.org/stable/26641735,,,,,,,,,,,
Sybil Gotsch,Gonocalyx costaricensis,NA,Y,Tropical montane cloud forest,W,S,,Wild,Ad,-1.518075132,,,92.13813694,,,,,,,,,0.921103326,,,-1.383574884,24.54978194,,,,,10.279247,-84.78477,1592,"CCT-Lab, Monteverde Reserve",,,,,,https://www.jstor.org/stable/26641736,,,,,,,,,,,
Sybil Gotsch,Hillia loranthoides,NA,Y,Tropical montane cloud forest,W,S,,Wild,Ad,-1.013238468,,,75.67027824,,,,,,,,,6.537168615,,,-0.811096425,16.15923792,,,,,10.279247,-84.78477,1070,"University of Georgia, San Luis",,,,,,https://www.jstor.org/stable/26641737,,,,,,,,,,,
Sybil Gotsch,Hillia loranthoides,NA,Y,Tropical montane cloud forest,W,S,,Wild,Ad,-1.436151666,,,79.93926313,,,,,,,,,,,,-1.19121279,29.45453767,,,,,10.279247,-84.78477,1100,"Buen Amigo, Private Farm, San Luis",,,,,,https://www.jstor.org/stable/26641738,,,,,,,,,,,
Sybil Gotsch,Hillia palmana,NA,Y,Tropical montane cloud forest,W,S,,Wild,Ad,-1.239390623,,,90.65582649,,,,,,,,,,,,-1.101336566,18.0154082,,,,,10.279247,-84.78477,1554,"Upper CC, Curi Cancha Reserve, Monteverde",,,,,,https://www.jstor.org/stable/26641739,,,,,,,,,,,
Sybil Gotsch,Hillia palmana,NA,Y,Tropical montane cloud forest,W,S,,Wild,Ad,-1.082061383,,,87.65336938,,,,,,,,,1.431080277,,,-0.915089363,14.54764362,,,,,10.279247,-84.78477,1635,"CCT-Lab, Monteverde Reserve",,,,,,https://www.jstor.org/stable/26641740,,,,,,,,,,,
Sybil Gotsch,Hillia palmana,NA,Y,Tropical montane cloud forest,W,S,,Wild,Ad,-1.158903738,,,90.46108236,,,,,,,,,,,,-1.038447346,10.61388033,,,,,10.279247,-84.78477,1592,"El Valle, The Children’s Eternal Rainforest",,,,,,https://www.jstor.org/stable/26641741,,,,,,,,,,,
Sybil Gotsch,Isohilus chiriquensis,NA,Y,Tropical montane cloud forest,W,L,,Wild,Ad,-0.776294453,,,92.75151972,,,,,,,,,1.152930199,,,-0.648376554,8.751339719,,,,,10.279247,-84.78477,1100,"University of Georgia, San Luis",,,,,,https://www.jstor.org/stable/26641742,,,,,,,,,,,
Sybil Gotsch,Macleania insignis,NA,Y,Tropical montane cloud forest,W,S,,Wild,Ad,-1.787618966,,,81.25294274,,,,,,,,,,,,-1.521687723,24.70850459,,,,,10.279247,-84.78477,1070,"University of Georgia, San Luis",,,,,,https://www.jstor.org/stable/26641743,,,,,,,,,,,
Sybil Gotsch,Macleania insignis,NA,Y,Tropical montane cloud forest,W,S,,Wild,Ad,-1.745325609,,,77.79533537,,,,,,,,,,,,-1.460711744,23.69095745,,,,,10.279247,-84.78477,1474,"Buen Amigo, Private Farm, San Luis",,,,,,https://www.jstor.org/stable/26641744,,,,,,,,,,,
Sybil Gotsch,Macleania insignis,NA,Y,Tropical montane cloud forest,W,S,,Wild,Ad,-1.677665225,,,81.75747615,,,,,,,,,,,,-1.425060607,23.82663736,,,,,10.279247,-84.78477,1100,"Lower CC, Curi Cancha Reserve, Monteverde",,,,,,https://www.jstor.org/stable/26641745,,,,,,,,,,,
Sybil Gotsch,Maianthemum monteverdense,NA,Y,Tropical montane cloud forest,W,L,,Wild,Ad,-1.034292014,,,91.01535097,,,,,,,,,,,,-0.947160493,14.82028206,,,,,10.279247,-84.78477,1554,"CCT-Lab, Monteverde Reserve",,,,,,https://www.jstor.org/stable/26641746,,,,,,,,,,,
Sybil Gotsch,Neomirandea croatii,NA,Y,Tropical montane cloud forest,W,S,,Wild,Ad,-1.566101497,,,88.57096339,,,,,,,,,,,,-1.417184088,17.86975261,,,,,10.279247,-84.78477,1554,"Lower CC, Curi Cancha Reserve, Monteverde",,,,,,https://www.jstor.org/stable/26641747,,,,,,,,,,,
Sybil Gotsch,Neomirandea croatii,NA,Y,Tropical montane cloud forest,W,S,,Wild,Ad,-1.007314127,,,85.34007427,,,,,,,,,,,,-0.869247177,8.928259837,,,,,10.279247,-84.78477,1635,"Upper CC, Curi Cancha Reserve, Monteverde",,,,,,https://www.jstor.org/stable/26641748,,,,,,,,,,,
Sybil Gotsch,Neomirandea croatii,NA,Y,Tropical montane cloud forest,W,S,,Wild,Ad,-1.075687996,,,90.24311251,,,,,,,,,,,,-1.000397419,13.206471,,,,,10.279247,-84.78477,1474,"CCT-Lab, Monteverde Reserve",,,,,,https://www.jstor.org/stable/26641749,,,,,,,,,,,
Sybil Gotsch,Neomirandea croatii,NA,Y,Tropical montane cloud forest,W,S,,Wild,Ad,-0.890924918,,,90.30026489,,,,,,,,,,,,-0.81586414,7.18989737,,,,,10.279247,-84.78477,1592,"El Valle, The Children’s Eternal Rainforest",,,,,,https://www.jstor.org/stable/26641750,,,,,,,,,,,
Sybil Gotsch,Neomirandea eximia,NA,Y,Tropical montane cloud forest,W,S,,Wild,Ad,-0.802089597,,,95.44535157,,,,,,,,,,,,-0.785528938,16.08014864,,,,,10.279247,-84.78477,1554,"Upper CC, Curi Cancha Reserve, Monteverde",,,,,,https://www.jstor.org/stable/26641751,,,,,,,,,,,
Sybil Gotsch,Neomirandea eximia,NA,Y,Tropical montane cloud forest,W,S,,Wild,Ad,-0.86946285,,,90.40310172,,,,,,,,,,,,-0.748383642,22.43302377,,,,,10.279247,-84.78477,1635,"CCT-Lab, Monteverde Reserve",,,,,,https://www.jstor.org/stable/26641752,,,,,,,,,,,
Sybil Gotsch,Neomirandea eximia,NA,Y,Tropical montane cloud forest,W,S,,Wild,Ad,-1.112151677,,,93.81719595,,,,,,,,,,,,-1.069776697,21.77417831,,,,,10.279247,-84.78477,1592,"El Valle, The Children’s Eternal Rainforest",,,,,,https://www.jstor.org/stable/26641753,,,,,,,,,,,
Sybil Gotsch,Notopleura guadalupensis,NA,Y,Tropical montane cloud forest,W,S,,Wild,Ad,-0.876583908,,,87.92860122,,,,,,,,,,,,-0.73462337,13.85498692,,,,,10.279247,-84.78477,1554,"Upper CC, Curi Cancha Reserve, Monteverde",,,,,,https://www.jstor.org/stable/26641754,,,,,,,,,,,
Sybil Gotsch,Notopleura guadalupensis,NA,Y,Tropical montane cloud forest,W,S,,Wild,Ad,-0.934893995,,,90.23160174,,,,,,,,,,,,-0.889578239,11.06006138,,,,,10.279247,-84.78477,1592,"CCT-Lab, Monteverde Reserve",,,,,,https://www.jstor.org/stable/26641755,,,,,,,,,,,
Sybil Gotsch,Notopleura maxonii,NA,Y,Tropical montane cloud forest,W,S,,Wild,Ad,-0.957158206,,,88.9887947,,,,,,,,,2.900503977,,,-0.845379919,13.97120872,,,,,10.279247,-84.78477,1635,"El Valle, The Children’s Eternal Rainforest",,,,,,https://www.jstor.org/stable/26641756,,,,,,,,,,,
Sybil Gotsch,Notopleura pithecobia,NA,Y,Tropical montane cloud forest,W,S,,Wild,Ad,-0.963567059,,,91.11579948,,,,,,,,,,,,-0.882336848,11.80838673,,,,,10.279247,-84.78477,1554,"CCT-Lab, Monteverde Reserve",,,,,,https://www.jstor.org/stable/26641757,,,,,,,,,,,
Sybil Gotsch,Notopleura pithecobia,NA,Y,Tropical montane cloud forest,W,S,,Wild,Ad,-0.9762244,,,88.84957294,,,,,,,,,,,,-0.844401604,14.32987143,,,,,10.279247,-84.78477,1635,"El Valle, The Children’s Eternal Rainforest",,,,,,https://www.jstor.org/stable/26641758,,,,,,,,,,,
Sybil Gotsch,Oreopanax anomalus,NA,Y,Tropical montane cloud forest,W,S,,Wild,Ad,-0.894409075,,,97.3584844,,,,,,,,,0.768258918,,,-0.755914615,44.48687422,,,,,10.279247,-84.78477,1474,"Lower CC, Curi Cancha Reserve, Monteverde",,,,,,https://www.jstor.org/stable/26641759,,,,,,,,,,,
Sybil Gotsch,Oreopanax vestitus,NA,Y,Tropical montane cloud forest,W,S,,Wild,Ad,-0.756237575,,,93.624691,,,,,,,,,,,,-0.719645598,12.31004295,,,,,10.279247,-84.78477,1554,"Upper CC, Curi Cancha Reserve, Monteverde",,,,,,https://www.jstor.org/stable/26641760,,,,,,,,,,,
Sybil Gotsch,Oreopanax vestitus,NA,Y,Tropical montane cloud forest,W,S,,Wild,Ad,-0.914725732,,,93.28107717,,,,,,,,,0.649314296,,,-0.804645835,16.95283215,,,,,10.279247,-84.78477,1635,"CCT-Lab, Monteverde Reserve",,,,,,https://www.jstor.org/stable/26641761,,,,,,,,,,,
Sybil Gotsch,Oreopanax vestitus,NA,Y,Tropical montane cloud forest,W,S,,Wild,Ad,-0.740613774,,,94.58401886,,,,,,,,,,,,-0.621307536,15.24498589,,,,,10.279247,-84.78477,1592,"El Valle, The Children’s Eternal Rainforest",,,,,,https://www.jstor.org/stable/26641762,,,,,,,,,,,
Sybil Gotsch,Pleurothallis dolichopus,NA,Y,Tropical montane cloud forest,W,L,,Wild,Ad,-0.345734833,,,95.40929388,,,,,,,,,7.860901517,,,-0.319191756,11.08638888,,,,,10.279247,-84.78477,1474,"Lower CC, Curi Cancha Reserve, Monteverde",,,,,,https://www.jstor.org/stable/26641763,,,,,,,,,,,
Sybil Gotsch,Satyria meiantha CF,NA,Y,Tropical montane cloud forest,W,S,,Wild,Ad,-1.409262329,,,90.4021455,,,,,,,,,,,,-1.342099062,15.51195216,,,,,10.279247,-84.78477,1554,"Upper CC, Curi Cancha Reserve, Monteverde",,,,,,https://www.jstor.org/stable/26641764,,,,,,,,,,,
Sybil Gotsch,Satyria meiantha CF,NA,Y,Tropical montane cloud forest,W,S,,Wild,Ad,-1.595522711,,,89.38461177,,,,,,,,,,,,-1.47918222,21.43219487,,,,,10.279247,-84.78477,1592,"CCT-Lab, Monteverde Reserve",,,,,,https://www.jstor.org/stable/26641765,,,,,,,,,,,
Sybil Gotsch,Satyria warszewiczii CF,NA,Y,Tropical montane cloud forest,W,S,,Wild,Ad,-1.43835995,,,79.84457489,,,,,,,,,,,,-1.051736352,20.68909328,,,,,10.279247,-84.78477,1635,"El Valle, The Children’s Eternal Rainforest",,,,,,https://www.jstor.org/stable/26641766,,,,,,,,,,,
Sybil Gotsch,Schefflera rodriguesiana,NA,Y,Tropical montane cloud forest,W,T,,Wild,Ad,-2.205947203,,,81.28778527,,,,,,,,,,,,-1.960587386,12.41804183,,,,,10.279247,-84.78477,1554,"Upper CC, Curi Cancha Reserve, Monteverde",,,,,,https://www.jstor.org/stable/26641767,,,,,,,,,,,
Sybil Gotsch,Schefflera rodriguesiana,NA,Y,Tropical montane cloud forest,W,T,,Wild,Ad,-1.202657128,,,92.15739513,,,,,,,,,0.791418149,,,-1.000620047,15.47949407,,,,,10.279247,-84.78477,1635,"CCT-Lab, Monteverde Reserve",,,,,,https://www.jstor.org/stable/26641768,,,,,,,,,,,
Sybil Gotsch,Schefflera rodriguesiana,NA,Y,Tropical montane cloud forest,W,T,,Wild,Ad,-1.363814981,,,90.50086868,,,,,,,,,,,,-1.248200437,15.95225618,,,,,10.279247,-84.78477,1592,"El Valle, The Children’s Eternal Rainforest",,,,,,https://www.jstor.org/stable/26641769,,,,,,,,,,,
Sybil Gotsch,Sphaeradenia praetermissa,NA,Y,Tropical montane cloud forest,W,L,,Wild,Ad,-1.064638727,,,86.46813254,,,,,,,,,,,,-0.817816757,9.331396286,,,,,10.279247,-84.78477,1554,"Upper CC, Curi Cancha Reserve, Monteverde",,,,,,https://www.jstor.org/stable/26641770,,,,,,,,,,,
Sybil Gotsch,Sphaeradenia praetermissa,NA,Y,Tropical montane cloud forest,W,L,,Wild,Ad,-1.277285017,,,88.4277647,,,,,,,,,,,,-1.15629318,24.98235649,,,,,10.279247,-84.78477,1635,"CCT-Lab, Monteverde Reserve",,,,,,https://www.jstor.org/stable/26641771,,,,,,,,,,,
Sybil Gotsch,Sphaeradenia praetermissa,NA,Y,Tropical montane cloud forest,W,L,,Wild,Ad,-1.011239485,,,86.6337995,,,,,,,,,1.255636264,,,-0.905572976,8.541431857,,,,,10.279247,-84.78477,1592,"El Valle, The Children’s Eternal Rainforest",,,,,,https://www.jstor.org/stable/26641772,,,,,,,,,,,
Sybil Gotsch,Sphyrospermum buxifolium,NA,Y,Tropical montane cloud forest,W,S,,Wild,Ad,-0.916811286,,,95.42416921,,,,,,,,,2.513074625,,,-0.854526769,21.11316699,,,,,10.279247,-84.78477,1070,"Buen Amigo, Private Farm, San Luis",,,,,,https://www.jstor.org/stable/26641773,,,,,,,,,,,
Sybil Gotsch,Sphyrospermum buxifolium,NA,Y,Tropical montane cloud forest,W,S,,Wild,Ad,-1.277919125,,,94.18858402,,,,,,,,,1.1754328,,,-1.128145562,22.43755779,,,,,10.279247,-84.78477,1635,"El Valle, The Children’s Eternal Rainforest",,,,,,https://www.jstor.org/stable/26641774,,,,,,,,,,,
Sybil Gotsch,Sphyrospermum cordifolium,NA,Y,Tropical montane cloud forest,W,S,,Wild,Ad,-1.004479536,,,96.86178885,,,,,,,,,0.754664522,,,-0.920550175,33.31892472,,,,,10.279247,-84.78477,1635,"El Valle, The Children’s Eternal Rainforest",,,,,,https://www.jstor.org/stable/26641775,,,,,,,,,,,
Sybil Gotsch,Stenospermation sessile,NA,Y,Tropical montane cloud forest,W,S,,Wild,Ad,-0.410702785,,,95.63801394,,,,,,,,,3.070247119,,,-0.328254141,8.373768752,,,,,10.279247,-84.78477,1474,"Lower CC, Curi Cancha Reserve, Monteverde",,,,,,https://www.jstor.org/stable/26641776,,,,,,,,,,,
Sybil Gotsch,Stenospermation sessile,NA,Y,Tropical montane cloud forest,W,S,,Wild,Ad,-0.363283757,,,95.97594015,,,,,,,,,2.596048703,,,-0.296580415,7.932133596,,,,,10.279247,-84.78477,1592,"Upper CC, Curi Cancha Reserve, Monteverde",,,,,,https://www.jstor.org/stable/26641777,,,,,,,,,,,
Moab Andrade,Solanum lycopersicum,NA,Y,Crop,H,H,A,Potted,Ad,-0.8104,0.1264,0.0447,90.1101,2.4796,0.8767,27.65,6.1966,2.1908,7.5544,1.0498,0.3712,1.17,0.1356,0.048,-0.7048,7.103,,,-0.0533,-0.694,-20.753889,-42.881667,648,"UFV, Viçosa, MG, Brazil",Y,October,2019,"Wild type, C.V. Ailsa Craig",n=8,https://doi.org/10.1093/jxb/erac119,,,,,,,,,,,
Moab Andrade,Vigna unguiculata,NA,Y,Crop,H,H,A,Potted,Sa,-0.8126,0.09671,0.043,91.1435,1.7851,0.7983,76.2568,28.8883,12.9192,4.9432,1.2229,0.5469,1.9742,0.3763,0.1683,-0.7771,9.1022,,,,,35.854167,-78.761944,101,"NCSU, Raleigh, NC, USA",Y,,2024,,,Unpublished,,,,,,,,,,,
Moab Andrade,Glycine max,NA,Y,Crop,H,H,A,Potted,Sa,-1.0369,0.2298,0.1027,89.1637,2.8227,1.2623,41.9626,3.9051,1.7464,4.2178,1.1313,0.5059,0.8624,0.2808,0.1256,-0.8948,9.003,,,,,35.854167,-78.761944,101,"NCSU, Raleigh, NC, USA",Y,,2024,,,Unpublished,,,,,,,,,,,
Moab Andrade,Helianthus annuus L.,NA,Y,Crop,H,H,A,Potted,Sa,-0.7647,0.1094,0.1094,84.1295,3.7293,1.6678,39.1892,6.6705,2.9831,9.4045,1.3587,0.6076,4.2105,1.0456,0.4676,-0.6772,3.8045,,,,,35.854167,-78.761944,101,"NCSU, Raleigh, NC, USA",Y,,2024,,,Unpublished,,,,,,,,,,,
Moab Andrade; Beatriz Camelo; Dulce Mantuano,Aegiphila integrifolia,NA,Y,TropicalDry,W,T,DD,Potted,Se,-1.114997518,0.491790564,0.173874221,84.90929,7.981231,2.821791,58.26553758,6.059187447,2.142246266,4.22906219,0.49569227,0.175253683,2.137819208,0.780238245,0.275855877,-1.093626615,6.916476317,,,,,-22.902778,-43.207778,2,"UFRJ, Rio de Janeiro, RJ, Brazil",Y,,2023,Native tree from Atlantic Forest,8,Unpublished,,,,,,,,,,,
Moab Andrade; Beatriz Camelo; Dulce Mantuano,Cecropia pachystachya,NA,Y,TropicalDry,W,T,E,Potted,Se,-0.944519901,0.035554545,0.014515082,86.16113,5.167381,2.109575,53.54567629,6.655900851,2.717260144,4.694685021,0.430532667,0.175764225,2.087883877,1.038762353,0.424072955,-0.837016741,6.761668593,,,,,-22.902778,-43.207778,2,"UFRJ, Rio de Janeiro, RJ, Brazil",Y,,2023,Native tree from Atlantic Forest,6,Unpublished,,,,,,,,,,,
Moab Andrade; Beatriz Camelo; Dulce Mantuano,Cedrela fissilis,NA,Y,TropicalDry,W,T,DD,Potted,Se,-1.690159151,0.177754737,0.067184975,79.56196,4.076953,1.540944,56.1558846,4.147074157,1.567446698,2.483628079,0.276347901,0.104449689,0.943321857,0.225416318,0.08519936,-1.336090914,6.78097956,,,,,-22.902778,-43.207778,2,"UFRJ, Rio de Janeiro, RJ, Brazil",Y,,2023,Native tree from Atlantic Forest,7,Unpublished,,,,,,,,,,,
Moab Andrade; Beatriz Camelo; Dulce Mantuano,Ceiba speciosa,NA,Y,TropicalDry,W,T,DD,Potted,Se,-1.101486903,0.168706827,0.068874274,83.23366,4.923649,2.010071,45.53538473,6.065173097,2.476096548,4.707981296,0.449707104,0.183592157,1.71844546,0.358169528,0.146222097,-0.894855304,5.674319162,,,,,-22.902778,-43.207778,2,"UFRJ, Rio de Janeiro, RJ, Brazil",Y,,2023,Native tree from Atlantic Forest,6,Unpublished,,,,,,,,,,,
Moab Andrade; Beatriz Camelo; Dulce Mantuano,Eugenia uniflora,NA,Y,TropicalDry,W,S,E,Potted,Se,-2.115378174,0.505512854,0.206374758,85.62929,4.794133,1.957196,111.9573069,24.51114687,10.00663381,1.764771867,0.082598993,0.033720898,0.752817197,0.180307752,0.073610332,-1.615689635,11.60332782,,,,,-22.902778,-43.207778,2,"UFRJ, Rio de Janeiro, RJ, Brazil",Y,,2023,Native tree from Atlantic Forest,6,Unpublished,,,,,,,,,,,
Moab Andrade; Beatriz Camelo; Dulce Mantuano,Gallesia integrifolia,NA,Y,TropicalDry,W,T,E,Potted,Se,-1.878696185,0.392145554,0.13864439,88.18214,4.890416,1.729023,47.77556267,15.26883304,5.398347692,4.271002151,1.100584034,0.389115217,0.611532532,0.225940717,0.079882107,-1.436551978,20.46346626,,,,,-22.902778,-43.207778,2,"UFRJ, Rio de Janeiro, RJ, Brazil",Y,,2023,Native tree from Atlantic Forest,8,Unpublished,,,,,,,,,,,
Moab Andrade; Beatriz Camelo; Dulce Mantuano,Guazuma ulmifolia,NA,Y,TropicalDry,W,T,E,Potted,Se,-1.693567141,0.275386054,0.097363673,89.96291,3.451805,1.220398,69.2320587,5.584124574,1.974286177,2.416758539,0.181139324,0.064042422,0.527828979,0.124643366,0.044068085,-1.663995116,16.56122551,,,,,-22.902778,-43.207778,2,"UFRJ, Rio de Janeiro, RJ, Brazil",Y,,2023,Native tree from Atlantic Forest,8,Unpublished,,,,,,,,,,,
Moab Andrade; Beatriz Camelo; Dulce Mantuano,Heliocarpus popayanensis,NA,Y,TropicalDry,W,T,DD,Potted,Se,-1.097958348,0.133779052,0.047298037,85.72232,5.067651,1.791685,50.49972829,11.97549102,4.233975454,3.492160645,0.548461063,0.193910269,1.201026083,0.42740435,0.151110257,-0.890600664,7.279283546,,,,,-22.902778,-43.207778,2,"UFRJ, Rio de Janeiro, RJ, Brazil",Y,,2023,Native tree from Atlantic Forest,8,Unpublished,,,,,,,,,,,
Moab Andrade; Beatriz Camelo; Dulce Mantuano,Mabea fistulifera,NA,Y,TropicalDry,W,T,DD,Potted,Se,-1.964138359,0.207721306,0.078511274,87.55148,3.076225,1.162704,81.33062928,14.32388957,5.413921371,1.684608924,0.139993578,0.052912599,0.45789128,0.0881928,0.033333745,-1.741778045,13.1209275,,,,,-22.902778,-43.207778,2,"UFRJ, Rio de Janeiro, RJ, Brazil",Y,,2023,Native tree from Atlantic Forest,7,Unpublished,,,,,,,,,,,
Moab Andrade; Beatriz Camelo; Dulce Mantuano,Psidium cattleianum,NA,Y,TropicalDry,W,S,E,Potted,Se,-1.946062498,0.060378209,0.022820818,87.07599,1.515216,0.572698,110.6774581,7.719418263,2.917665856,2.571153391,0.240027636,0.090721919,1.05180112,0.18661148,0.07053251,-1.716842306,13.62326277,,,,,-22.902778,-43.207778,2,"UFRJ, Rio de Janeiro, RJ, Brazil",Y,,2023,Native tree from Atlantic Forest,7,Unpublished,,,,,,,,,,,
Moab Andrade; Beatriz Camelo; Dulce Mantuano,Tabebuia roseoalba,NA,Y,TropicalDry,W,T,DD,Potted,Se,-1.960298708,0.357157737,0.126274329,85.0776,6.273795,2.218121,65.73277363,6.481880207,2.291690724,2.237931557,0.116817133,0.041301093,0.612899442,0.139476409,0.049312357,-1.714065432,12.09476669,,,,,-22.902778,-43.207778,2,"UFRJ, Rio de Janeiro, RJ, Brazil",Y,,2023,Native tree from Atlantic Forest,8,Unpublished,,,,,,,,,,,
